"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Timm10",8.23814944293269e-07,-1.3514454324976,0.017,0.035,0.0200862559717585,"GCL","Timm10"
"Iqgap1",8.44954623517309e-07,1.35807859504484,0.049,0.026,0.020601683630599,"GCL","Iqgap1"
"Gda",8.64071379461095e-07,2.09827648521906,0.031,0.013,0.0210677883740204,"GCL","Gda"
"Asic1",9.23141701252819e-07,-1.91331078279974,0.008,0.022,0.0225080409599462,"GCL","Asic1"
"Gm12185",9.40945574500955e-07,3.95482307670234,0.012,0.002,0.0229421349974823,"GCL","Gm12185"
"Ly9",9.48414094439219e-07,3.33902512243451,0.012,0.002,0.023124232450617,"GCL","Ly9"
"Fgr",9.6946054819306e-07,2.90658791931318,0.017,0.004,0.0236373870860432,"GCL","Fgr"
"Trim56",9.82349915930109e-07,1.55723903298981,0.031,0.013,0.0239516556502079,"GCL","Trim56"
"Actr3b",1.02570202785945e-06,-1.23312957867382,0.018,0.037,0.025008666843269,"GCL","Actr3b"
"Spata13",1.02596738222223e-06,1.55684609424537,0.025,0.009,0.0250151367133423,"GCL","Spata13"
"Trim30d",1.06281813432084e-06,3.85717294246788,0.011,0.001,0.0259136317510108,"GCL","Trim30d"
"Cd14",1.08039480268271e-06,3.38894810313521,0.011,0.001,0.0263421860790098,"GCL","Cd14"
"Cmtm6",1.11867460585062e-06,2.13198261070887,0.017,0.005,0.0272755242398498,"GCL","Cmtm6"
"9930111J21Rik2",1.17786710908647e-06,3.76508629887973,0.01,0.001,0.0287187558537463,"GCL","9930111J21Rik2"
"Slc9a5",1.18830854029217e-06,-1.54639051563407,0.005,0.017,0.0289733388294036,"GCL","Slc9a5"
"Clcn6",1.20059837492443e-06,-1.14276331225206,0.024,0.046,0.0292729895774075,"GCL","Clcn6"
"S1pr2",1.20952539810197e-06,3.20534679807733,0.012,0.002,0.0294906482565222,"GCL","S1pr2"
"Gadd45a",1.30058593054094e-06,1.1702292212079,0.031,0.013,0.0317108861584492,"GCL","Gadd45a"
"Ggta1",1.33984652729438e-06,2.32341471188905,0.016,0.004,0.0326681380284916,"GCL","Ggta1"
