Samples,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
M256_N-Acetylputrescine,0.011,0.017,0.013,0.034,0.02,0.013,0.036,0.021,0.017,0.021,0.04,0.022,0.015,0.021,0.026,0.026,0.045,0.035,0.014,0.03,0.033,0.027,0.073,0.017,0.025,0.019,0.031,0.026,0.029
M257_4-Hydroxyproline (s)#,1.705,3.036,1.537,1.298,0.73,1.695,1.533,1.58,1.508,6.427,0.362,2.256,0.777,1.409,1.435,4.219,2.506,0.525,3.033,2.864,3.438,1.55,3.03,1.408,1.417,0.072,0.894,0.971,0.154
M258_Adenine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M259_L-Homocysteine,1.15,2.592,0.757,0.288,0.81,1.208,1.242,0.232,0.188,1.069,1.042,2.64,0.218,0.889,1.998,0.469,1.831,0.783,0.857,0.777,1.24,1.21,3.062,1.332,0.288,0.886,0.719,0.892,3.674
M260_L-Histidinol,0.012,0.007,0.006,0.004,0.002,0.002,0.004,0.003,0.007,0.001,0.004,0.001,0.013,0.004,0.003,0.002,0.006,0.005,0.007,0.002,0.003,0.003,0.003,0.003,0.005,0.004,0.003,0.002,0.002
M262_Phosphorylcholine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M264_N-Acetylglutamine,0.052,0.044,0.068,0.055,0.051,0.026,0.04,0.028,0.059,0.039,0.071,0.097,0.053,0.047,0.043,0.048,0.061,0.078,0.05,0.046,0.05,0.055,0.075,0.075,0.074,0.046,0.013,0.028,0.038
M265_N-Acetylglutamic acid,0.123,0.116,0.023,0.324,0.212,0.203,0.287,0.228,0.18,0.308,0.23,0.312,0.048,0.18,0.18,0.114,0.17,0.253,0.367,0.309,0.336,0.346,0.668,0.206,0.217,0.324,0.274,0.327,0.178
M266_Asymmetric dimethylarginine,2.732,2.104,2.294,1.39,1.62,1.65,1.565,1.76,0.45,1.55,0.254,3.304,0.525,1.486,1.745,2.261,1.82,0.78,1.305,2.479,1.376,1.35,2.972,1.716,1.983,0.146,0.344,1.467,0.15
M267_L-Cystine#,0,0,0,0,0,0,0,0,0,0.102,0,0.599,0,0,0.115,0.018,0.207,0,0,0.05,0.309,0,0.008,0.058,0,0,0.672,0,0.062
M268_Deoxyadenosine (s),0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0
M269_AICA-riboside,0.02,0.052,0.026,0.044,0.056,0.065,0.028,0.041,0.092,0.158,0.1,0.309,0.04,0.053,0.059,0.112,0.113,0.026,0.046,0.102,0.107,0.113,0.065,0.105,0.048,0.019,0.211,0.038,0.075
M271_7-Methylguanosine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M272_beta-nicotinamide D-ribonucleotide,0.003,0.002,0.011,0.004,0.003,0.002,0.005,0.002,0.003,0.002,0.002,0,0.001,0.005,0.002,0.008,0.004,0.005,0.006,0.007,0.001,0.003,0.006,0.008,0.018,0.005,0,0.004,0.003
M273_Riboflavin,0.036,0.018,0.037,0.014,0.014,0.06,0.042,0.014,0.045,0.027,0.014,0.016,0.041,0.023,0.021,0.019,0.017,0.021,0.024,0.016,0.011,0.018,0.022,0.012,0.046,0.018,0.015,0.011,0.016
"M276_3,5-Diiodothyronine#",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001
M277_Putrescine#,9.918,5.342,5.354,1.818,1.386,3.368,1.565,0.902,2.318,1.065,0.394,0.36,1.03,0.351,0.561,0.236,0.501,0.22,0.367,0.376,0.138,0.436,0.36,0.27,0.8,0.03,0.151,0.409,0.174
M278_Spermidine,1.061,0.664,1.143,0.895,0.537,0.835,1.133,0.862,0.984,0.27,0.518,0.658,1.424,0.917,0.422,0.932,0.687,1.704,0.724,0.834,0.347,0.78,0.457,1.099,2.842,0.392,0.293,0.454,1.985
M279_Spermine,2.343,2.588,6.805,4.767,2.84,5.081,4.592,1.867,2.729,1.59,3.684,1.387,1.902,6.331,3.143,5.708,1.987,3.245,1.975,5.535,1.778,2.234,1.844,14.996,23.758,2.111,0.781,1.772,3.353
M281_Alpha-Hydroxyisobutyric acid,0.586,0.403,0.138,0.116,0.258,0.197,1.381,0.091,0.11,0.198,0.238,0.043,0.153,0.085,0.175,0.043,1.471,0.538,0.188,0.067,0.03,0.457,0.255,0.289,0.17,0.433,0,0.436,0.137
M282_4-Hydroxyphenyl acetic acid,0,0,0,0.255,0.605,0,0.982,0.184,0,0,0.545,0.478,0,0,0.249,0,0.316,0.564,0,0.651,0,0.339,0.527,0.362,0,0.697,0,0,0
M289_Dimethylamine#,0.24,0.477,0.281,0.608,0.43,0.214,1.025,2.171,0.458,1.003,0.54,1.418,0.505,0.779,0.735,0.826,0.61,0.728,0.987,0.599,0.749,0.986,0.882,0.688,0.871,1.262,0.97,0.921,0.549
M290_Glycocholic acid,0.013,0.007,0.002,0,0.003,0,0.069,0.002,0.014,0.003,0.007,0.017,0,0.004,0.005,0.059,0.012,0.011,0.015,0.01,0.001,0.014,0.055,0.004,0,0.01,0.006,0.001,0.001
M291_Glycoursodeoxycholic acid +M297 Glycodeoxycolic acid+M313 Glycochendeoxychlate,1.624,1.293,1.651,0.713,0.714,2.676,1.168,0.713,2.665,1.372,0.713,0.712,2.469,1.021,0.931,0.994,1.213,0.835,1.691,1.131,0.795,0.718,0.716,0.712,1.49,0.713,1.036,0.974,0.715
M293_Hippurate,0.668,0.441,0.323,0.102,0.262,0.105,1.611,0.158,0.15,0.181,0.23,0.072,0.061,0.046,0.138,0.081,1.37,0.373,0.167,0.019,0.047,0.502,0.36,0.378,0.121,0.518,0.143,0.401,0.108
M294_Hyodeoxycholic acid same as M284_Chenodeoxycholic acid M303_NEG,3.231,2.551,3.257,1.419,1.411,5.293,2.306,1.414,5.324,2.719,1.411,1.423,4.809,2.019,1.85,1.972,2.399,1.681,3.355,2.227,1.573,1.416,1.416,1.414,2.946,1.412,2.076,1.925,1.417
