	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0035987	GO:0035987	endodermal cell differentiation	6/303	45/28928	0.133333333	12.72959296	8.101553655	7.26E-06	5.61E-05	3.06E-05	Fn1/Mmp14/Myh9/Col12a1/Col5a2/Mmp9	6	up
GO:0044403	GO:0044403	biological process involved in symbiotic interaction	13/303	275/28928	0.047272727	4.513219322	6.022638887	7.58E-06	5.85E-05	3.19E-05	Ctsb/Fn1/Lgals1/Arg1/Csf1r/Cfl1/Ly6e/Ncf1/Cd300lf/Ccl8/Myd88/Clec5a/Ccl5	13	up
GO:0010977	GO:0010977	negative regulation of neuron projection development	10/303	160/28928	0.0625	5.9669967	6.481854709	7.82E-06	6.00E-05	3.28E-05	H2-K1/H2-D1/Lgals1/Ccr5/Actr3/Cd38/Ptpn1/Wnt5a/Adam17/Dab2	10	up
GO:0030854	GO:0030854	positive regulation of granulocyte differentiation	4/303	13/28928	0.307692308	29.37598375	10.52837315	7.83E-06	6.00E-05	3.28E-05	Hcls1/Runx1/Evi2/Ikzf1	4	up
GO:0036006	GO:0036006	cellular response to macrophage colony-stimulating factor stimulus	4/303	13/28928	0.307692308	29.37598375	10.52837315	7.83E-06	6.00E-05	3.28E-05	Csf1r/Ccl2/Trem2/Tlr2	4	up
GO:0035743	GO:0035743	CD4-positive, alpha-beta T cell cytokine production	5/303	27/28928	0.185185185	17.67999022	8.921163588	8.15E-06	6.22E-05	3.40E-05	Arg1/Il1b/Rsad2/Arid5a/Fosl2	5	up
GO:0060143	GO:0060143	positive regulation of syncytium formation by plasma membrane fusion	5/303	27/28928	0.185185185	17.67999022	8.921163588	8.15E-06	6.22E-05	3.40E-05	Tyrobp/Cd53/Ehd1/Ccl8/Trem2	5	up
GO:0097028	GO:0097028	dendritic cell differentiation	6/303	46/28928	0.130434783	12.45286268	7.997966889	8.28E-06	6.31E-05	3.45E-05	Cebpb/Pirb/Trem2/Irf8/Spi1/Rbpj	6	up
GO:0045638	GO:0045638	negative regulation of myeloid cell differentiation	8/303	97/28928	0.082474227	7.873975026	6.976927795	8.52E-06	6.48E-05	3.54E-05	C1qc/Pf4/Csf1r/Mafb/Nfkbia/Lilrb4a/Inpp5d/Runx1	8	up
GO:0019058	GO:0019058	viral life cycle	13/303	279/28928	0.046594982	4.448513669	5.954970083	8.85E-06	6.72E-05	3.67E-05	Ctsb/Lgals1/Ly6e/Isg15/Ifi207/Cd300lf/Rsad2/Slpi/Ccl8/Clec5a/Ccl5/Ifi209/N4bp1	13	up
GO:0001914	GO:0001914	regulation of T cell mediated cytotoxicity	7/303	71/28928	0.098591549	9.412727188	7.301980262	9.67E-06	7.33E-05	4.00E-05	H2-K1/H2-D1/Ptprc/Nckap1l/H2-Q7/Pnp/Stx7	7	up
GO:0061844	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	10/303	164/28928	0.06097561	5.821460195	6.370538343	9.71E-06	7.35E-05	4.01E-05	Ccl6/Pf4/Ccl9/Lgals3/Ccl2/S100a9/Ccl8/Ccl7/Cxcl10/Ccl5	10	up
GO:0070498	GO:0070498	interleukin-1-mediated signaling pathway	5/303	28/28928	0.178571429	17.048562	8.741107937	9.84E-06	7.43E-05	4.06E-05	Il1b/Il1rn/Nfkbia/Zbp1/Myd88	5	up
GO:0034340	GO:0034340	response to type I interferon	8/303	99/28928	0.080808081	7.714904824	6.885618139	9.91E-06	7.46E-05	4.08E-05	Samhd1/Isg15/Wnt5a/Irf7/Zbp1/Stat1/Mmp12/Myd88	8	up
GO:0051090	GO:0051090	regulation of DNA-binding transcription factor activity	15/303	372/28928	0.040322581	3.84967529	5.691391019	1.04E-05	7.80E-05	4.26E-05	Grem1/Il1b/Fcgr2b/Acod1/Nfkbia/Arrb2/Bcl3/Wnt5a/Hck/Cmklr1/Cd84/Syk/Myd88/Tlr2/Spi1	15	up
GO:2001056	GO:2001056	positive regulation of cysteine-type endopeptidase activity	9/303	131/28928	0.06870229	6.55914141	6.560999589	1.04E-05	7.83E-05	4.27E-05	Ctsd/Lgmn/Laptm5/S100a9/S100a8/Ifi207/Stat1/Syk/Ifi209	9	up
GO:0001562	GO:0001562	response to protozoan	6/303	48/28928	0.125	11.9339934	7.800116622	1.07E-05	7.96E-05	4.35E-05	Pf4/Arg1/Ier3/Bcl3/Irf8/Myd88	6	up
GO:0032620	GO:0032620	interleukin-17 production	6/303	48/28928	0.125	11.9339934	7.800116622	1.07E-05	7.96E-05	4.35E-05	Nckap1l/Arid5a/Vsir/Myd88/Tlr2/Rftn1	6	up
GO:0031400	GO:0031400	negative regulation of protein modification process	16/303	420/28928	0.038095238	3.63702656	5.600877041	1.07E-05	7.98E-05	4.36E-05	Il1b/Pid1/Ptprc/Sirpa/Socs3/Lilrb4a/Isg15/Ptpn6/Arrb2/Ptpn1/Parp14/Slc8a1/Rgs2/Samsn1/Sfrp2/N4bp1	16	up
GO:0060485	GO:0060485	mesenchyme development	14/303	328/28928	0.042682927	4.075022136	5.762386923	1.08E-05	8.04E-05	4.39E-05	Fn1/Grem1/Il1b/Col1a1/Thbs1/Cfl1/Sdcbp/Wnt5a/Stat1/Dab2/Itga4/Lrg1/Rbpj/Sfrp2	14	up
GO:0001660	GO:0001660	fever generation	4/303	14/28928	0.285714286	27.2776992	10.11806653	1.09E-05	8.04E-05	4.39E-05	Il1b/Il1rn/Ccr5/Ccl5	4	up
GO:0002755	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	4/303	14/28928	0.285714286	27.2776992	10.11806653	1.09E-05	8.04E-05	4.39E-05	Irf7/Cd300lf/Myd88/Tlr2	4	up
GO:0002885	GO:0002885	positive regulation of hypersensitivity	4/303	14/28928	0.285714286	27.2776992	10.11806653	1.09E-05	8.04E-05	4.39E-05	C3/Fcer1g/Fcgr3/Fcgr1	4	up
GO:0010820	GO:0010820	positive regulation of T cell chemotaxis	4/303	14/28928	0.285714286	27.2776992	10.11806653	1.09E-05	8.04E-05	4.39E-05	Ccr2/Wnt5a/Adam17/Ccl5	4	up
GO:0034765	GO:0034765	regulation of monoatomic ion transmembrane transport	15/303	375/28928	0.04	3.818877888	5.652834732	1.14E-05	8.41E-05	4.59E-05	Ctss/Lcn2/Coro1a/Fxyd5/Cyba/Ccl2/Ccr2/P2rx4/Ptpn6/Ywhah/Slc8a1/Trem2/P2ry6/Cxcl10/Mmp9	15	up
GO:0031346	GO:0031346	positive regulation of cell projection organization	17/303	471/28928	0.036093418	3.445908922	5.506256548	1.15E-05	8.43E-05	4.61E-05	Fn1/Lcn2/Grn/Cfl1/Marcks/S100a9/Actr3/Ndnf/Ehd1/Iqgap1/Wnt5a/Adam17/Rgs2/Plxnd1/Arap1/Rab8b/Tnfrsf12a	17	up
GO:0030888	GO:0030888	regulation of B cell proliferation	7/303	73/28928	0.095890411	9.154844252	7.17739464	1.16E-05	8.54E-05	4.66E-05	Tyrobp/Ptprc/Fcgr2b/Cd38/Nckap1l/Inpp5d/Sash3	7	up
GO:0045806	GO:0045806	negative regulation of endocytosis	7/303	73/28928	0.095890411	9.154844252	7.17739464	1.16E-05	8.54E-05	4.66E-05	Lgals3/Sirpa/Fcgr2b/Sdcbp/Cd300lf/Apoc2/Tlr2	7	up
GO:0002523	GO:0002523	leukocyte migration involved in inflammatory response	5/303	29/28928	0.172413793	16.46068055	8.57011131	1.18E-05	8.61E-05	4.70E-05	Itgam/Ccl2/S100a9/S100a8/Itgb2	5	up
GO:0006925	GO:0006925	inflammatory cell apoptotic process	5/303	29/28928	0.172413793	16.46068055	8.57011131	1.18E-05	8.61E-05	4.70E-05	Itgam/Ccr5/Fcgr2b/Slc7a11/Ccl5	5	up
GO:0060338	GO:0060338	regulation of type I interferon-mediated signaling pathway	6/303	49/28928	0.12244898	11.69044251	7.705537024	1.20E-05	8.78E-05	4.79E-05	Samhd1/Isg15/Wnt5a/Irf7/Zbp1/Mmp12	6	up
GO:0051924	GO:0051924	regulation of calcium ion transport	13/303	289/28928	0.044982699	4.29458586	5.791233704	1.29E-05	9.37E-05	5.12E-05	Coro1a/Serpine1/Cyba/Lgals3/P2rx4/Ptpn6/Arrb2/Slc8a1/Cd84/P2ry6/Cxcl10/Ccr1/Ccl5	13	up
GO:0036293	GO:0036293	response to decreased oxygen levels	15/303	379/28928	0.039577836	3.778573108	5.602040538	1.29E-05	9.39E-05	5.13E-05	Cybb/Mmp14/Ccl2/Ccr2/Ndnf/Cd38/Ptpn1/Adam17/Slc8a1/Trem2/Cbl/Hmox1/Fosl2/Fndc1/Plat	15	up
GO:0002710	GO:0002710	negative regulation of T cell mediated immunity	5/303	30/28928	0.166666667	15.9119912	8.407417939	1.40E-05	0.000101514	5.55E-05	Arg1/Ptprc/Lilrb4a/Nckap1l/Vsir	5	up
GO:0032891	GO:0032891	negative regulation of organic acid transport	5/303	30/28928	0.166666667	15.9119912	8.407417939	1.40E-05	0.000101514	5.55E-05	Il1b/Thbs1/Il1rn/Slc43a2/Rgs2	5	up
GO:0002679	GO:0002679	respiratory burst involved in defense response	4/303	15/28928	0.266666667	25.45918592	9.748578967	1.47E-05	0.000105868	5.78E-05	Grn/S100a9/Ncf1/Trem2	4	up
GO:0032494	GO:0032494	response to peptidoglycan	4/303	15/28928	0.266666667	25.45918592	9.748578967	1.47E-05	0.000105868	5.78E-05	Irf5/Trem2/Myd88/Tlr2	4	up
GO:0036005	GO:0036005	response to macrophage colony-stimulating factor	4/303	15/28928	0.266666667	25.45918592	9.748578967	1.47E-05	0.000105868	5.78E-05	Csf1r/Ccl2/Trem2/Tlr2	4	up
GO:0033002	GO:0033002	muscle cell proliferation	13/303	293/28928	0.044368601	4.235956701	5.727804453	1.49E-05	0.000106988	5.84E-05	Aif1/C3ar1/Thbs1/Cyba/Ptafr/Tgm2/Stat1/Hmox1/Myd88/P2ry6/Ccl5/Mmp9/Rbpj	13	up
GO:0045646	GO:0045646	regulation of erythrocyte differentiation	6/303	51/28928	0.117647059	11.23199379	7.524360308	1.52E-05	0.000109234	5.97E-05	Mafb/Isg15/Nckap1l/Inpp5d/Stat1/Spi1	6	up
GO:0030168	GO:0030168	platelet activation	8/303	105/28928	0.076190476	7.27405312	6.626336925	1.53E-05	0.000109421	5.98E-05	Fcer1g/Pf4/Plek/Ptpn6/Slc7a11/Rasa3/Syk/Emilin2	8	up
GO:0030307	GO:0030307	positive regulation of cell growth	11/303	211/28928	0.052132701	4.977210517	5.965550646	1.54E-05	0.00011016	6.02E-05	Fn1/Mmp14/Cyba/Cfl1/Sdcbp/Cd38/Wnt5a/Adam17/Cxcl16/Sfrp2/Tnfrsf12a	11	up
GO:0032271	GO:0032271	regulation of protein polymerization	11/303	211/28928	0.052132701	4.977210517	5.965550646	1.54E-05	0.00011016	6.02E-05	Cotl1/Coro1a/Cfl1/Vasp/Actr3/Gda/Nckap1l/Prex1/Hcls1/Capg/Tlr2	11	up
GO:0014812	GO:0014812	muscle cell migration	9/303	138/28928	0.065217391	6.226431339	6.331756785	1.59E-05	0.000112935	6.17E-05	Myh9/Aif1/Serpine1/Iqgap1/Ptpn1/P2ry6/Plat/Ccl5/Itga4	9	up
GO:0018149	GO:0018149	peptide cross-linking	5/303	31/28928	0.161290323	15.39870116	8.252357818	1.66E-05	0.000117204	6.40E-05	Fn1/Col3a1/Thbs1/F13a1/Tgm2	5	up
GO:0050820	GO:0050820	positive regulation of coagulation	5/303	31/28928	0.161290323	15.39870116	8.252357818	1.66E-05	0.000117204	6.40E-05	Serpine1/Thbs1/S100a9/Emilin2/Plat	5	up
GO:0090594	GO:0090594	inflammatory response to wounding	5/303	31/28928	0.161290323	15.39870116	8.252357818	1.66E-05	0.000117204	6.40E-05	Grn/Ccr2/Timp1/Ptpn6/Hmox1	5	up
GO:0062208	GO:0062208	positive regulation of pattern recognition receptor signaling pathway	7/303	77/28928	0.090909091	8.679267927	6.942006433	1.66E-05	0.000117204	6.40E-05	Cyba/Pik3ap1/Cd14/Rsad2/Myd88/Slc15a3/Znrf1	7	up
GO:0007200	GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	9/303	139/28928	0.064748201	6.181636869	6.300301729	1.68E-05	0.000118577	6.48E-05	Myh9/C3ar1/Plek/Ptafr/Tgm2/Wnt5a/Cmklr1/Fpr2/Fpr1	9	up
GO:0070232	GO:0070232	regulation of T cell apoptotic process	6/303	52/28928	0.115384615	11.01599391	7.437508435	1.71E-05	0.000120193	6.57E-05	Lgals3/Bcl3/Wnt5a/Pnp/Dock8/Ccl5	6	up
GO:0051258	GO:0051258	protein polymerization	13/303	297/28928	0.043771044	4.17890678	5.66549712	1.72E-05	0.000120743	6.60E-05	Cotl1/Coro1a/Aif1/Cfl1/Vasp/Actr3/Gda/Nckap1l/Prex1/Hcls1/Capg/Msrb1/Tlr2	13	up
GO:2000146	GO:2000146	negative regulation of cell motility	14/303	342/28928	0.040935673	3.908208365	5.566242743	1.73E-05	0.00012136	6.63E-05	Col3a1/Grem1/Myh9/Aif1/Serpine1/Thbs1/Il1rn/Cfl1/Timp1/Ptpn1/Srgap2/Emilin2/Arhgdib/Sfrp2	14	up
GO:0043367	GO:0043367	CD4-positive, alpha-beta T cell differentiation	8/303	107/28928	0.074766355	7.13808951	6.544415248	1.75E-05	0.000122923	6.71E-05	Lgals1/Pf4/Ccr2/Nckap1l/Bcl3/Rsad2/Runx1/Sash3	8	up
GO:2001236	GO:2001236	regulation of extrinsic apoptotic signaling pathway	10/303	177/28928	0.056497175	5.393895322	6.032677742	1.89E-05	0.000132038	7.21E-05	Il1b/Serpine1/Ptprc/Thbs1/Lgals3/Mcl1/Hmox1/Dab2/Sfrp2/Tnfrsf12a	10	up
GO:0007520	GO:0007520	myoblast fusion	6/303	53/28928	0.113207547	10.80814497	7.352991753	1.91E-05	0.000132913	7.26E-05	Myh9/Cd53/Ehd1/Dock2/Ccl8/Cxcl10	6	up
GO:0010934	GO:0010934	macrophage cytokine production	6/303	53/28928	0.113207547	10.80814497	7.352991753	1.91E-05	0.000132913	7.26E-05	Laptm5/Il1b/Wnt5a/Litaf/Myd88/Tlr2	6	up
GO:0002866	GO:0002866	positive regulation of acute inflammatory response to antigenic stimulus	4/303	16/28928	0.25	23.8679868	9.413456519	1.94E-05	0.000135253	7.39E-05	C3/Fcer1g/Fcgr3/Fcgr1	4	up
GO:0032732	GO:0032732	positive regulation of interleukin-1 production	7/303	79/28928	0.088607595	8.459539625	6.830625159	1.96E-05	0.00013631	7.45E-05	Tyrobp/Ccr5/Wnt5a/Ifi207/Myd88/Tlr2/Ifi209	7	up
GO:0070167	GO:0070167	regulation of biomineral tissue development	8/303	109/28928	0.073394495	7.00711539	6.464575831	2.01E-05	0.00013921	7.60E-05	Grem1/Cebpb/Csf1r/Ecm1/Isg15/Srgn/Slc8a1/Ccr1	8	up
GO:0050830	GO:0050830	defense response to Gram-positive bacterium	10/303	179/28928	0.055865922	5.333628335	5.983662236	2.08E-05	0.000143936	7.86E-05	Lyz2/Mpeg1/Il1b/Hck/Adam17/Ncf1/Fgr/Myd88/Tlr2/Myo1f	10	up
GO:0007179	GO:0007179	transforming growth factor beta receptor signaling pathway	11/303	218/28928	0.050458716	4.817391831	5.820746085	2.09E-05	0.000144416	7.89E-05	Col3a1/Thbs1/Ccl2/Sdcbp/Arrb2/Nrros/Adam17/Dab2/Arap1/Spi1/Lrg1	11	up
GO:0046683	GO:0046683	response to organophosphorus	9/303	143/28928	0.062937063	6.008723949	6.177493013	2.11E-05	0.000145168	7.93E-05	Il1b/Col1a1/Ccl2/P2rx4/Ptafr/Slc8a1/Stat1/Ass1/P2ry6	9	up
GO:0007264	GO:0007264	small GTPase-mediated signal transduction	16/303	444/28928	0.036036036	3.44043053	5.331601853	2.11E-05	0.000145168	7.93E-05	Col3a1/Aif1/Arhgap30/Abca1/Sdcbp/Cyth4/Tgm2/Dock2/Rasa3/Vav1/Arhgap45/Cbl/Hmox1/Dock8/Arhgdib/Cdc42se1	16	up
GO:0070482	GO:0070482	response to oxygen levels	16/303	444/28928	0.036036036	3.44043053	5.331601853	2.11E-05	0.000145168	7.93E-05	Cybb/Mmp14/Col1a1/Ccl2/Ccr2/Ndnf/Cd38/Ptpn1/Adam17/Slc8a1/Trem2/Cbl/Hmox1/Fosl2/Fndc1/Plat	16	up
GO:0051346	GO:0051346	negative regulation of hydrolase activity	13/303	303/28928	0.04290429	4.09615615	5.574060607	2.12E-05	0.00014524	7.93E-05	Serpina3n/Grn/Serpine1/Thbs1/Cstb/Ecm1/Timp1/Ifi207/Rgs2/Slpi/Mmp9/Sfrp2/Ifi209	13	up
GO:0045124	GO:0045124	regulation of bone resorption	6/303	54/28928	0.111111111	10.60799413	7.27070288	2.13E-05	0.000145366	7.94E-05	Spp1/Csf1r/Cd38/Inpp5d/Fcgr4/Syk	6	up
GO:0046633	GO:0046633	alpha-beta T cell proliferation	6/303	54/28928	0.111111111	10.60799413	7.27070288	2.13E-05	0.000145366	7.94E-05	Ptprc/Ccr2/Lilrb4a/Dock2/Syk/Vsir	6	up
GO:0048259	GO:0048259	regulation of receptor-mediated endocytosis	9/303	144/28928	0.0625	5.9669967	6.147517997	2.23E-05	0.00015197	8.30E-05	C3/Grem1/Serpine1/Sdcbp/Arrb2/Apoc2/Syk/Cbl/Dab2	9	up
GO:0007259	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	10/303	181/28928	0.055248619	5.274693215	5.93537604	2.29E-05	0.000155898	8.52E-05	Ptprc/Csf1r/Csf2rb/Socs3/Bcl3/Parp14/Stat1/Crlf1/Il10ra/Ccl5	10	up
GO:1903036	GO:1903036	positive regulation of response to wounding	7/303	81/28928	0.086419753	8.250662103	6.723108391	2.31E-05	0.000157264	8.59E-05	Grn/Serpine1/Thbs1/Ccl2/S100a9/Emilin2/Plat	7	up
GO:0001706	GO:0001706	endoderm formation	6/303	55/28928	0.109090909	10.41512151	7.190541268	2.37E-05	0.000160059	8.74E-05	Fn1/Mmp14/Myh9/Col12a1/Col5a2/Mmp9	6	up
GO:0002714	GO:0002714	positive regulation of B cell mediated immunity	6/303	55/28928	0.109090909	10.41512151	7.190541268	2.37E-05	0.000160059	8.74E-05	C3/Fcer1g/Fcgr3/Ptprc/Fcgr1/Trem2	6	up
GO:0002891	GO:0002891	positive regulation of immunoglobulin mediated immune response	6/303	55/28928	0.109090909	10.41512151	7.190541268	2.37E-05	0.000160059	8.74E-05	C3/Fcer1g/Fcgr3/Ptprc/Fcgr1/Trem2	6	up
GO:0048762	GO:0048762	mesenchymal cell differentiation	12/303	263/28928	0.045627376	4.356134473	5.625245997	2.41E-05	0.000162576	8.88E-05	Fn1/Grem1/Il1b/Col1a1/Cfl1/Sdcbp/Wnt5a/Stat1/Dab2/Lrg1/Rbpj/Sfrp2	12	up
GO:0045861	GO:0045861	negative regulation of proteolysis	14/303	353/28928	0.039660057	3.786422835	5.419279097	2.45E-05	0.000165258	9.03E-05	Serpina3n/Ctsz/Serpine1/Thbs1/Cstb/Ecm1/Timp1/Ifi207/Slpi/Plat/Mmp9/Sfrp2/Ifi209/N4bp1	14	up
GO:0042130	GO:0042130	negative regulation of T cell proliferation	7/303	82/28928	0.085365854	8.150044273	6.6707263	2.51E-05	0.000168653	9.21E-05	Laptm5/Cebpb/Arg1/Lilrb4a/Ptpn6/H2-Aa/Vsir	7	up
GO:0060100	GO:0060100	positive regulation of phagocytosis, engulfment	4/303	17/28928	0.235294118	22.46398758	9.1075922	2.52E-05	0.000169083	9.24E-05	C3/Fcgr1/Nckap1l/Trem2	4	up
GO:1905155	GO:1905155	positive regulation of membrane invagination	4/303	17/28928	0.235294118	22.46398758	9.1075922	2.52E-05	0.000169083	9.24E-05	C3/Fcgr1/Nckap1l/Trem2	4	up
GO:0061097	GO:0061097	regulation of protein tyrosine kinase activity	6/303	56/28928	0.107142857	10.2291372	7.112412648	2.63E-05	0.000175872	9.61E-05	Grem1/Ptprc/Csf1r/Lilrb4a/Ptpn1/Adam17	6	up
GO:0034101	GO:0034101	erythrocyte homeostasis	10/303	184/28928	0.054347826	5.188692782	5.864271681	2.64E-05	0.00017614	9.62E-05	Mafb/Isg15/Nckap1l/Inpp5d/Ptbp3/Hcls1/Stat1/Hmox1/Spi1/Ikzf1	10	up
GO:0006910	GO:0006910	phagocytosis, recognition	5/303	34/28928	0.147058824	14.03999223	7.827322383	2.65E-05	0.000176473	9.64E-05	Fcgr3/Cfp/Sirpa/Fcgr1/Trem2	5	up
GO:0033674	GO:0033674	positive regulation of kinase activity	13/303	310/28928	0.041935484	4.003662302	5.470318026	2.69E-05	0.000178903	9.77E-05	Grem1/Il1b/Ptprc/Thbs1/Csf1r/Iqgap1/Arrb2/Ptpn1/Wnt5a/Adam17/Lcp2/Trem2/Syk	13	up
GO:0048545	GO:0048545	response to steroid hormone	14/303	357/28928	0.039215686	3.743997929	5.367294571	2.77E-05	0.000184258	0.000100656	Spp1/Cybb/Pf4/Col1a1/Ccl2/Il1rn/Acod1/Cd38/Ywhah/Junb/Ptafr/Ass1/Dab2/Fosl2	14	up
GO:0010595	GO:0010595	positive regulation of endothelial cell migration	8/303	114/28928	0.070175439	6.699785768	6.273493419	2.78E-05	0.000184258	0.000100656	Lgmn/Lcn2/Grn/Thbs1/P2rx4/Wnt5a/Adam17/Hmox1	8	up
GO:0030101	GO:0030101	natural killer cell activation	8/303	114/28928	0.070175439	6.699785768	6.273493419	2.78E-05	0.000184258	0.000100656	Tyrobp/Coro1a/Ptprc/Lilrb4a/Fcgr4/Fgr/Vav1/Ikzf1	8	up
GO:0007566	GO:0007566	embryo implantation	7/303	84/28928	0.083333333	7.9559956	6.56857953	2.93E-05	0.000194036	0.000105998	Grn/Timp1/Acod1/H2-Q7/Mmp12/Arhgdib/Mmp9	7	up
GO:0031640	GO:0031640	killing of cells of another organism	8/303	115/28928	0.069565217	6.641526761	6.236653236	2.96E-05	0.000195262	0.000106667	Lyz2/Arg1/Lgals3/Ncf1/Ccl8/Syk/Myd88/Cxcl10	8	up
GO:0141061	GO:0141061	disruption of cell in another organism	8/303	115/28928	0.069565217	6.641526761	6.236653236	2.96E-05	0.000195262	0.000106667	Lyz2/Arg1/Lgals3/Ncf1/Ccl8/Syk/Myd88/Cxcl10	8	up
GO:0001771	GO:0001771	immunological synapse formation	4/303	18/28928	0.222222222	21.21598827	8.826884582	3.22E-05	0.000210538	0.000115012	Msn/Lgals3/Dock2/Dock8	4	up
GO:0010755	GO:0010755	regulation of plasminogen activation	4/303	18/28928	0.222222222	21.21598827	8.826884582	3.22E-05	0.000210538	0.000115012	Ctsz/Serpine1/Thbs1/Plat	4	up
GO:0010919	GO:0010919	regulation of inositol phosphate biosynthetic process	4/303	18/28928	0.222222222	21.21598827	8.826884582	3.22E-05	0.000210538	0.000115012	Myh9/Plek/Ptafr/P2ry6	4	up
GO:0032604	GO:0032604	granulocyte macrophage colony-stimulating factor production	4/303	18/28928	0.222222222	21.21598827	8.826884582	3.22E-05	0.000210538	0.000115012	Il1b/Cd84/Syk/Fosl2	4	up
GO:0120161	GO:0120161	regulation of cold-induced thermogenesis	9/303	151/28928	0.059602649	5.690380959	5.945304431	3.24E-05	0.000211973	0.000115797	Lcn2/Fabp5/Cebpb/Ccr2/Adam17/Cmklr1/Syk/Plac8/Rbpj	9	up
GO:0034103	GO:0034103	regulation of tissue remodeling	7/303	86/28928	0.081395349	7.770972446	6.469755228	3.42E-05	0.000223095	0.000121872	Spp1/Grem1/Csf1r/Cd38/Inpp5d/Fcgr4/Syk	7	up
GO:0002313	GO:0002313	mature B cell differentiation involved in immune response	5/303	36/28928	0.138888889	13.25999267	7.572737836	3.52E-05	0.000229538	0.000125392	Lgals1/Lilrb4a/Bcl3/Irf8/Spi1	5	up
GO:0098586	GO:0098586	cellular response to virus	6/303	59/28928	0.101694915	9.709011579	6.889366166	3.55E-05	0.000230992	0.000126186	Irf5/Pou2f2/Mmp12/Cxcl10/Ccl5/Wdfy4	6	up
GO:0051702	GO:0051702	biological process involved in interaction with symbiont	8/303	118/28928	0.06779661	6.472674386	6.128712488	3.57E-05	0.000231142	0.000126268	Fn1/Arg1/Csf1r/Cfl1/Ncf1/Ccl8/Myd88/Ccl5	8	up
GO:0071774	GO:0071774	response to fibroblast growth factor	8/303	118/28928	0.06779661	6.472674386	6.128712488	3.57E-05	0.000231142	0.000126268	Col1a1/Thbs1/Ndnf/Iqgap1/Ptpn1/Wnt5a/Tnc/Ccl5	8	up
GO:0097696	GO:0097696	cell surface receptor signaling pathway via STAT	10/303	193/28928	0.051813472	4.946733015	5.659930088	3.96E-05	0.000256255	0.000139987	Ptprc/Csf1r/Csf2rb/Socs3/Bcl3/Parp14/Stat1/Crlf1/Il10ra/Ccl5	10	up
GO:2000514	GO:2000514	regulation of CD4-positive, alpha-beta T cell activation	7/303	88/28928	0.079545455	7.594359436	6.374066466	3.97E-05	0.000256356	0.000140042	Lgals1/Pf4/Ccr2/Nckap1l/Runx1/Vsir/Sash3	7	up
GO:0106106	GO:0106106	cold-induced thermogenesis	9/303	155/28928	0.058064516	5.543532418	5.835353518	3.98E-05	0.000256843	0.000140308	Lcn2/Fabp5/Cebpb/Ccr2/Adam17/Cmklr1/Syk/Plac8/Rbpj	9	up
GO:0010574	GO:0010574	regulation of vascular endothelial growth factor production	5/303	37/28928	0.135135135	12.90161449	7.452907272	4.04E-05	0.000257571	0.000140706	C3/Il1b/C3ar1/Ccl2/Ccr2	5	up
GO:0043304	GO:0043304	regulation of mast cell degranulation	5/303	37/28928	0.135135135	12.90161449	7.452907272	4.04E-05	0.000257571	0.000140706	Fcer1g/Cd84/Syk/Fgr/Hmox1	5	up
GO:0071353	GO:0071353	cellular response to interleukin-4	5/303	37/28928	0.135135135	12.90161449	7.452907272	4.04E-05	0.000257571	0.000140706	Coro1a/Ptprc/Mrc1/Parp14/Cd300lf	5	up
GO:0071354	GO:0071354	cellular response to interleukin-6	5/303	37/28928	0.135135135	12.90161449	7.452907272	4.04E-05	0.000257571	0.000140706	Pid1/Ccl2/Cfl1/Sbno2/Spi1	5	up
GO:0001820	GO:0001820	serotonin secretion	4/303	19/28928	0.210526316	20.0993573	8.567996565	4.04E-05	0.000257571	0.000140706	Fcer1g/Fcgr3/Lgals3/Syk	4	up
GO:0032695	GO:0032695	negative regulation of interleukin-12 production	4/303	19/28928	0.210526316	20.0993573	8.567996565	4.04E-05	0.000257571	0.000140706	Thbs1/Arrb2/Cmklr1/Tlr2	4	up
GO:0035821	GO:0035821	modulation of process of another organism	4/303	19/28928	0.210526316	20.0993573	8.567996565	4.04E-05	0.000257571	0.000140706	Arg1/S100a9/Slpi/Syk	4	up
GO:0050792	GO:0050792	regulation of viral process	10/303	194/28928	0.051546392	4.921234391	5.638010607	4.14E-05	0.000263352	0.000143864	Lgals1/Ly6e/Isg15/Ifi207/Stat1/Rsad2/Slpi/Ccl5/Ifi209/N4bp1	10	up
GO:0034113	GO:0034113	heterotypic cell-cell adhesion	6/303	61/28928	0.098360656	9.390683331	6.749345909	4.30E-05	0.00027289	0.000149074	Il1b/Ptprc/Il1rn/Vcam1/Itgb2/Itga4	6	up
GO:0043303	GO:0043303	mast cell degranulation	6/303	61/28928	0.098360656	9.390683331	6.749345909	4.30E-05	0.00027289	0.000149074	Fcer1g/Cd84/Syk/Fgr/Cbl/Hmox1	6	up
GO:0006816	GO:0006816	calcium ion transport	16/303	473/28928	0.033826638	3.229495043	5.029884942	4.51E-05	0.000285349	0.00015588	Coro1a/Serpine1/Ptprc/Cyba/Lgals3/Ccr5/P2rx4/Ptpn6/Arrb2/Slc8a1/Cd84/Ccl8/P2ry6/Cxcl10/Ccr1/Ccl5	16	up
