	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0045088	GO:0045088	regulation of innate immune response	43/303	496/28928	0.086693548	8.276801874	16.8181394	1.20E-26	2.23E-24	1.22E-24	Grn/Tyrobp/Arg1/Unc93b1/Cyba/Samhd1/S100a9/Acod1/Nfkbia/S100a8/Isg15/Ptpn6/Arrb2/Clec4e/Wnt5a/Parp14/Irf7/Zbp1/Ncf1/Ifi207/Pik3ap1/Cd14/Cd300lf/Rsad2/Trem2/Syk/Fgr/Vav1/Mmp12/Myd88/Tlr2/Slc15a3/Myo1f/Znrf1/Clec4n/Ifi204/Ccr1/Spi1/Ifi211/Fpr2/Rftn1/Ifi209/N4bp1	43	up
GO:0071675	GO:0071675	regulation of mononuclear cell migration	28/303	154/28928	0.181818182	17.35853585	20.94136254	1.36E-26	2.42E-24	1.32E-24	Lgmn/Grem1/Msn/Mmp14/Coro1a/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Lgals3/Ccl2/Ccr2/Ecm1/P2rx4/Wnt5a/Adam17/Cmklr1/Trem2/Ccl7/Cxcl10/Dock8/Ccr1/Spi1/Ccl5/Itga4/Fpr2	28	up
GO:0071674	GO:0071674	mononuclear cell migration	31/303	228/28928	0.135964912	12.98083493	18.68589155	2.56E-25	4.34E-23	2.37E-23	Lgmn/Grem1/Msn/Mmp14/Coro1a/Aif1/C3ar1/Pla2g7/Serpine1/Thbs1/Csf1r/Lgals3/Ccl2/Sirpa/Ccr2/Ecm1/P2rx4/Wnt5a/Adam17/Cmklr1/Trem2/Cxcl16/Ccl7/Cxcl10/Dock8/Ccr1/Spi1/Ccl5/Itga4/Mmp9/Fpr2	31	up
GO:0002703	GO:0002703	regulation of leukocyte mediated immunity	35/303	319/28928	0.109717868	10.47497853	17.50743416	3.03E-25	4.93E-23	2.70E-23	C3/H2-K1/H2-D1/Fcer1g/Itgam/Tyrobp/Fcgr3/Arg1/Il1b/Ptprc/Ccl2/Fcgr2b/Fcgr1/Ccr2/Lilrb4a/Itgb2/Ptpn6/Nckap1l/Arrb2/Ptafr/Rsad2/H2-Q7/Cd84/Pnp/Arid5a/Stx7/Trem2/Syk/Vsir/Sash3/Fgr/Vav1/Hmox1/Tlr2/Spi1	35	up
GO:0002768	GO:0002768	immune response-regulating cell surface receptor signaling pathway	35/303	320/28928	0.109375	10.44224422	17.47457952	3.38E-25	5.16E-23	2.82E-23	C3/Fcer1g/Itgam/Laptm5/Tyrobp/Fcgr3/C3ar1/Ptprc/Cyba/Lgals3/Fcgr1/Clec4d/Acod1/Nfkbia/Lilrb4a/Cd38/Ptpn6/Nckap1l/Clec4e/Fcgr4/Pik3ap1/Cd14/Cmklr1/Lcp2/Trem2/Syk/Vav1/Fosl2/Myd88/Tlr2/Znrf1/Clec4n/Fpr2/Rftn1/Fpr1	35	up
GO:0071621	GO:0071621	granulocyte chemotaxis	26/303	138/28928	0.188405797	17.98746831	20.5801073	3.44E-25	5.16E-23	2.82E-23	Spp1/Ccl6/Fcer1g/Itgam/Fcgr3/Pf4/Il1b/C3ar1/Thbs1/Csf1r/Ccl9/Lgals3/Ccl2/S100a9/S100a8/Itgb2/Nckap1l/Prex1/Csf3r/Cmklr1/Ccl8/Syk/Vav1/Ccl7/Cxcl10/Ccl5	26	up
GO:0002699	GO:0002699	positive regulation of immune effector process	35/303	324/28928	0.108024691	10.31332763	17.34459909	5.15E-25	7.45E-23	4.07E-23	C3/H2-K1/H2-D1/Fcer1g/Itgam/Laptm5/Tyrobp/Fcgr3/Arg1/Il1b/Ptprc/Ccl2/Cfp/Fcgr1/Ccr2/Lilrb4a/Itgb2/Ptpn6/Ptafr/Irf5/Wnt5a/Rsad2/H2-Q7/Pnp/Arid5a/Stx7/Trem2/Syk/Sash3/Fgr/Vav1/Myd88/Tlr2/Spi1/Il13ra1	35	up
GO:0046651	GO:0046651	lymphocyte proliferation	35/303	336/28928	0.104166667	9.944994499	16.96788505	1.77E-24	2.47E-22	1.35E-22	Cfb/Itgam/Laptm5/Msn/Tyrobp/Coro1a/Cebpb/Arg1/Il1b/Aif1/Ptprc/Csf1r/Lgals3/Vcam1/Fcgr2b/Ccr2/Slfn2/Lilrb4a/Cd38/Itgb2/Ptpn6/Nckap1l/Inpp5d/H2-Aa/Dock2/Pnp/Syk/Vsir/Sash3/Lst1/Fosl2/Myd88/Dock8/Ccl5/Psmb10	35	up
GO:0032943	GO:0032943	mononuclear cell proliferation	35/303	343/28928	0.102040816	9.742035428	16.75678851	3.55E-24	4.78E-22	2.61E-22	Cfb/Itgam/Laptm5/Msn/Tyrobp/Coro1a/Cebpb/Arg1/Il1b/Aif1/Ptprc/Csf1r/Lgals3/Vcam1/Fcgr2b/Ccr2/Slfn2/Lilrb4a/Cd38/Itgb2/Ptpn6/Nckap1l/Inpp5d/H2-Aa/Dock2/Pnp/Syk/Vsir/Sash3/Lst1/Fosl2/Myd88/Dock8/Ccl5/Psmb10	35	up
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	38/303	434/28928	0.087557604	8.359294916	15.892954	8.96E-24	1.17E-21	6.37E-22	Itgam/Laptm5/Msn/Coro1a/Lgals1/Pf4/Cebpb/Arg1/Il1b/Aif1/Ptprc/Thbs1/Lgals3/Ccl2/Vcam1/S100a9/Sirpa/H2-Ab1/Ccr2/S100a8/Lilrb4a/Itgb2/Ptpn6/Nckap1l/Ptafr/H2-Aa/Pnp/Runx1/Syk/Vsir/Ass1/Sash3/Vav1/Tnfaip8l2/Dock8/Ccl5/Itga4/Lrg1	38	up
