	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0002823	BP	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	10/364	62/28928	0.161290323	12.81814959	10.51586256	5.29E-09	8.78E-08	5.25E-08	Arg1/Ptprc/Pf4/Fcgr2b/Lgals1/Lilrb4a/Il4ra/Vsir/Nckap1l/Ptpn6	10	up
GO:0031638	BP	GO:0031638	zymogen activation	11/364	82/28928	0.134146341	10.66094881	9.889555791	6.79E-09	1.12E-07	6.72E-08	Ctsl/Lgmn/Thbs1/Mmp14/Ctsz/Ifi207/Vsir/Mndal/Masp1/C1ra/Ifi203	11	up
GO:0030852	BP	GO:0030852	regulation of granulocyte differentiation	7/364	22/28928	0.318181818	25.28671329	12.86408688	6.84E-09	1.12E-07	6.73E-08	C1qc/Hcls1/Runx1/Inpp5d/Ikzf1/Evi2/Rbp1	7	up
GO:1902106	BP	GO:1902106	negative regulation of leukocyte differentiation	13/364	125/28928	0.104	8.265142857	9.189104282	6.90E-09	1.13E-07	6.76E-08	Cd74/C1qc/Pf4/Lgals1/Cd44/Irf1/Lilrb4a/Il4ra/Runx1/Inpp5d/Mafb/Lyn/Clec2d	13	up
GO:0042060	BP	GO:0042060	wound healing	22/364	394/28928	0.055837563	4.437552295	7.755485205	7.35E-09	1.20E-07	7.18E-08	Fcer1g/Ccr2/Mmp12/Ccl2/Pf4/Thbs1/Timp1/Plek/Cd44/Col3a1/Lilrb4a/S100a9/Lyn/Emilin2/Prcp/F13a1/Syk/Ptprj/Ptpn6/Smoc2/Tmeff2/Jak2	22	up
GO:0001562	BP	GO:0001562	response to protozoan	9/364	48/28928	0.1875	14.9010989	10.88088035	7.80E-09	1.27E-07	7.58E-08	Arg1/Pf4/Iigp1/Bcl3/Il4ra/Gbp2/Irf8/Gbp7/Ccdc88b	9	up
GO:0045619	BP	GO:0045619	regulation of lymphocyte differentiation	17/364	233/28928	0.072961373	5.798424751	8.301688088	7.93E-09	1.28E-07	7.68E-08	Cd74/Ccr2/Ptprc/H2-Aa/Pf4/Mmp14/Lgals1/Cd44/Irf1/Lilrb4a/Il4ra/Vsir/Runx1/Inpp5d/Nckap1l/Syk/Ptpn6	17	up
GO:0045071	BP	GO:0045071	negative regulation of viral genome replication	10/364	65/28928	0.153846154	12.22654269	10.22880391	8.52E-09	1.37E-07	8.22E-08	Isg15/Ifitm3/Ifitm1/Bst2/Ifi207/Rsad2/Oasl2/Mndal/Ifi203/Slpi	10	up
GO:0032602	BP	GO:0032602	chemokine production	13/364	128/28928	0.1015625	8.071428571	9.051254518	9.22E-09	1.48E-07	8.85E-08	Il1b/Apod/Cd74/Csf1r/Cxcl5/Lilrb4a/Aif1/Il4ra/Sirpa/Trem2/Cd84/Tlr2/Syk	13	up
GO:0002283	BP	GO:0002283	neutrophil activation involved in immune response	7/364	23/28928	0.304347826	24.18729097	12.55799542	9.72E-09	1.55E-07	9.26E-08	Fcer1g/Itgam/Tyrobp/Itgb2/Ptafr/Myo1f/Syk	7	up
GO:0060333	BP	GO:0060333	type II interferon-mediated signaling pathway	7/364	23/28928	0.304347826	24.18729097	12.55799542	9.72E-09	1.55E-07	9.26E-08	Arg1/Ifngr1/Irf1/Parp14/Stat1/Irgm1/Jak2	7	up
GO:0002675	BP	GO:0002675	positive regulation of acute inflammatory response	8/364	35/28928	0.228571429	18.16514914	11.4703894	1.02E-08	1.60E-07	9.58E-08	Il1b/Fcer1g/Fcgr3/Ccr5/Ptgs2/Alox5ap/Fcgr1/C3	8	up
GO:0060142	BP	GO:0060142	regulation of syncytium formation by plasma membrane fusion	8/364	35/28928	0.228571429	18.16514914	11.4703894	1.02E-08	1.60E-07	9.58E-08	Tyrobp/Cxcl10/Cd53/Il4ra/Ccl8/Stat1/Trem2/Plekho1	8	up
GO:0090025	BP	GO:0090025	regulation of monocyte chemotaxis	8/364	35/28928	0.228571429	18.16514914	11.4703894	1.02E-08	1.60E-07	9.58E-08	Ccr2/Lgmn/Ccl2/Cxcl10/Aif1/Ccr1/Lyn/Pla2g7	8	up
GO:0060760	BP	GO:0060760	positive regulation of response to cytokine stimulus	10/364	67/28928	0.149253731	11.86157126	10.0477136	1.15E-08	1.81E-07	1.08E-07	Cd74/Laptm5/Mmp12/Zbp1/Irf7/Cd300lf/Parp14/Trem2/Irgm1/Tlr2	10	up
GO:0019730	BP	GO:0019730	antimicrobial humoral response	16/364	210/28928	0.076190476	6.055049712	8.299479567	1.19E-08	1.85E-07	1.11E-07	B2m/Ccl6/Ccl2/Pf4/Ccl9/Wfdc2/Acod1/Cxcl5/Cxcl10/Wfdc17/Bcl3/Cxcl14/Ccl8/Ccl7/S100a9/Slpi	16	up
GO:0042326	BP	GO:0042326	negative regulation of phosphorylation	20/364	337/28928	0.059347181	4.716470473	7.74682672	1.30E-08	2.02E-07	1.21E-07	Il1b/Ptprc/Socs3/Irf1/Xdh/Lilrb4a/Parp14/Arrb2/Rgs2/Lyn/Sirpa/Jun/Birc3/Slc8a1/Sema4d/Ptprj/Ptpn6/Ntf3/Errfi1/Samsn1	20	up
GO:0002707	BP	GO:0002707	negative regulation of lymphocyte mediated immunity	10/364	69/28928	0.144927536	11.5177576	9.874155025	1.55E-08	2.38E-07	1.42E-07	Arg1/Ptprc/Fcgr2b/Lilrb4a/Vsir/Tap1/Arrb2/Nckap1l/Clec2d/Ptpn6	10	up
GO:0071622	BP	GO:0071622	regulation of granulocyte chemotaxis	10/364	69/28928	0.144927536	11.5177576	9.874155025	1.55E-08	2.38E-07	1.42E-07	Camk1d/Il1b/Cd74/Csf1r/Ccl2/Thbs1/C3ar1/Nckap1l/Ptprj/Cmklr1	10	up
GO:1905517	BP	GO:1905517	macrophage migration	10/364	69/28928	0.144927536	11.5177576	9.874155025	1.55E-08	2.38E-07	1.42E-07	Ccr2/Csf1r/Ccl2/Thbs1/Mmp14/C3ar1/Trem2/P2rx4/Ptprj/Cmklr1	10	up
GO:0019079	BP	GO:0019079	viral genome replication	13/364	134/28928	0.097014925	7.710021322	8.7885692	1.61E-08	2.46E-07	1.47E-07	Isg15/Stom/Ifitm3/Ifitm1/Bst2/Ifi207/Rsad2/Oasl2/Ccl8/Mndal/Gbp7/Ifi203/Slpi	13	up
GO:1903038	BP	GO:1903038	negative regulation of leukocyte cell-cell adhesion	14/364	160/28928	0.0875	6.953846154	8.525024624	1.71E-08	2.60E-07	1.55E-07	Cd74/Laptm5/Cebpb/Arg1/H2-Aa/Pf4/Lgals1/Cd44/Irf1/Lilrb4a/Il4ra/Vsir/Runx1/Ptpn6	14	up
GO:0010001	BP	GO:0010001	glial cell differentiation	19/364	309/28928	0.061488673	4.886660265	7.753922755	1.71E-08	2.60E-07	1.55E-07	Clu/Il1b/Vim/Csf1r/S100a8/Grn/Itgam/C1qa/Zeb2/Ifngr1/Tnfrsf1b/S100a9/Lyn/Trem2/Nrros/Pfkfb3/Tlr2/Ptprj/Ntf3	19	up
GO:0097193	BP	GO:0097193	intrinsic apoptotic signaling pathway	20/364	343/28928	0.058309038	4.633966616	7.642787286	1.75E-08	2.64E-07	1.58E-07	Clu/Cd74/Cebpb/S100a8/Fcgr2b/Ptgs2/Ifi27l2a/Ifi204/Tnfrsf1b/Cd44/Ifi207/Bcl3/Bcl2a1b/S100a9/Mndal/Trem2/Shisa5/Steap3/Ifi203/Jak2	20	up
GO:0052548	BP	GO:0052548	regulation of endopeptidase activity	19/364	310/28928	0.061290323	4.870896845	7.735095548	1.80E-08	2.72E-07	1.62E-07	Serpina3n/Laptm5/Lgmn/S100a8/Psmb8/Thbs1/Timp1/Ptgs2/Cd44/Ifi207/Xdh/Vsir/Stat1/S100a9/Lyn/Mndal/Psmb9/Syk/Ifi203	19	up
GO:0045576	BP	GO:0045576	mast cell activation	11/364	90/28928	0.122222222	9.713308913	9.34576109	1.85E-08	2.77E-07	1.66E-07	Fcer1g/Fcgr3/Fgr/Lilrb4a/Il4ra/Cd300lf/Lyn/Lcp2/Cd84/Syk/Ptpn6	11	up
GO:0097242	BP	GO:0097242	amyloid-beta clearance	8/364	38/28928	0.210526316	16.73105842	10.95390193	2.05E-08	3.06E-07	1.83E-07	Clu/Itgam/Itgb2/Ifngr1/Msr1/C3/Trem2/Syk	8	up
GO:0032720	BP	GO:0032720	negative regulation of tumor necrosis factor production	10/364	71/28928	0.14084507	11.19331373	9.707599556	2.06E-08	3.06E-07	1.83E-07	Lilrb4a/Bcl3/Clec4a2/Vsir/Arrb2/Sirpa/Clec4a3/Trem2/Ptpn6/Errfi1	10	up
GO:0031343	BP	GO:0031343	positive regulation of cell killing	12/364	113/28928	0.10619469	8.43956044	8.944788242	2.08E-08	3.07E-07	1.84E-07	H2-K1/B2m/H2-D1/Arg1/Ptprc/Itgam/Tyrobp/Ccl2/Ccr5/H2-Q7/Vav1/Syk	12	up
GO:0042102	BP	GO:0042102	positive regulation of T cell proliferation	12/364	113/28928	0.10619469	8.43956044	8.944788242	2.08E-08	3.07E-07	1.84E-07	Il1b/Ccr2/Coro1a/Ptprc/Aif1/H2-DMb1/Nckap1l/Irgm1/Vcam1/Syk/Jak2/Ccdc88b	12	up
GO:0030316	BP	GO:0030316	osteoclast differentiation	13/364	137/28928	0.094890511	7.541188738	8.663262355	2.10E-08	3.09E-07	1.85E-07	Fcer1g/Csf1r/Cebpb/Tyrobp/Ccl9/Lilrb4a/Sbno2/Ccr1/Cd300lf/Inpp5d/Mafb/Clec2d/Trem2	13	up
GO:1903900	BP	GO:1903900	regulation of viral life cycle	14/364	163/28928	0.085889571	6.825861255	8.420049177	2.16E-08	3.17E-07	1.90E-07	Isg15/Cd74/Ifitm3/Ly6e/Ifitm1/Lgals1/Bst2/Ifi207/Rsad2/Oasl2/Mndal/Gbp7/Ifi203/Slpi	14	up
GO:0010721	BP	GO:0010721	negative regulation of cell development	19/364	314/28928	0.060509554	4.808847204	7.66058553	2.21E-08	3.23E-07	1.94E-07	B2m/Il1b/Cd74/C1qc/Pf4/Ccr5/Lgals1/Cd44/Irf1/Lilrb4a/Il4ra/Runx1/Inpp5d/Mafb/Lyn/Cfl1/Clec2d/Trem2/Irgm1	19	up
