	ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	type
GO:0048246	BP	GO:0048246	macrophage chemotaxis	6/364	48/28928	0.125	9.934065934	6.993008481	2.99E-05	0.000218165	0.000130545	Csf1r/Ccl2/Thbs1/C3ar1/Ptprj/Cmklr1	6	up
GO:0044703	BP	GO:0044703	multi-organism reproductive process	13/364	261/28928	0.049808429	3.958401752	5.419748812	3.01E-05	0.000218647	0.000130834	Ctsb/Ctsl/Mmp12/Grn/Ccl2/Acod1/Timp1/Ptgs2/H2-Q7/Rgs2/Cd38/Ptafr/Errfi1	13	up
GO:0017157	BP	GO:0017157	regulation of exocytosis	12/364	225/28928	0.053333333	4.238534799	5.50514876	3.12E-05	0.000225961	0.00013521	Fcer1g/Ccr2/Itgam/Itgb2/Fgr/Kcnh1/Il4ra/Lyn/Ptafr/Nckap1l/Cd84/Syk	12	up
GO:0001894	BP	GO:0001894	tissue homeostasis	14/364	301/28928	0.046511628	3.696396627	5.308501952	3.19E-05	0.000229941	0.000137592	Ctss/Ccr2/Spp1/Csf1r/Coro1a/Zeb2/Ptgs2/Col3a1/Inpp5d/Cd38/Epsti1/Il10ra/Syk/Errfi1	14	up
GO:0060249	BP	GO:0060249	anatomical structure homeostasis	14/364	301/28928	0.046511628	3.696396627	5.308501952	3.19E-05	0.000229941	0.000137592	Ctss/Ccr2/Spp1/Csf1r/Coro1a/Zeb2/Ptgs2/Col3a1/Inpp5d/Cd38/Epsti1/Il10ra/Syk/Errfi1	14	up
GO:1904645	BP	GO:1904645	response to amyloid-beta	6/364	49/28928	0.12244898	9.731329895	6.905263244	3.37E-05	0.000241585	0.00014456	Lgmn/Fcgr2b/Trem2/Icam1/Vcam1/Syk	6	up
GO:0002507	BP	GO:0002507	tolerance induction	5/364	30/28928	0.166666667	13.24542125	7.575186699	3.38E-05	0.000241585	0.00014456	Acod1/Lilrb4a/C3ar1/Runx1/Lyn	5	up
GO:0002710	BP	GO:0002710	negative regulation of T cell mediated immunity	5/364	30/28928	0.166666667	13.24542125	7.575186699	3.38E-05	0.000241585	0.00014456	Arg1/Ptprc/Lilrb4a/Vsir/Nckap1l	5	up
GO:0032928	BP	GO:0032928	regulation of superoxide anion generation	5/364	30/28928	0.166666667	13.24542125	7.575186699	3.38E-05	0.000241585	0.00014456	Itgam/Tyrobp/Itgb2/Cyba/Syk	5	up
GO:0002260	BP	GO:0002260	lymphocyte homeostasis	8/364	98/28928	0.081632653	6.487553263	6.142742957	3.42E-05	0.000243899	0.000145944	Cd74/Coro1a/Pirb/Cd44/Lyn/Pik3cd/Nckap1l/Dock10	8	up
GO:0007044	BP	GO:0007044	cell-substrate junction assembly	8/364	98/28928	0.081632653	6.487553263	6.142742957	3.42E-05	0.000243899	0.000145944	Apod/Mmp14/Cfl1/Efna5/Tln1/Map4k4/Ptprj/Actn1	8	up
GO:0044706	BP	GO:0044706	multi-multicellular organism process	13/364	266/28928	0.04887218	3.883995704	5.334270795	3.66E-05	0.000260692	0.000155993	Ctsb/Ctsl/Mmp12/Grn/Ccl2/Acod1/Timp1/Ptgs2/H2-Q7/Rgs2/Cd38/Ptafr/Errfi1	13	up
GO:0031102	BP	GO:0031102	neuron projection regeneration	7/364	73/28928	0.095890411	7.620653319	6.393587534	3.77E-05	0.000267099	0.000159827	Apod/Grn/Tnc/Jun/Map4k4/Diaph2/Jak2	7	up
GO:0010977	BP	GO:0010977	negative regulation of neuron projection development	10/364	160/28928	0.0625	4.967032967	5.680202823	3.77E-05	0.000267099	0.000159827	H2-K1/B2m/Vim/H2-D1/Ccr5/Lgals1/Dab2/Cd38/Map4k4/Diaph2	10	up
GO:0043392	BP	GO:0043392	negative regulation of DNA binding	6/364	50/28928	0.12	9.536703297	6.820002138	3.79E-05	0.000268564	0.000160703	Ifi207/Sp100/Mndal/Jun/Ifi203/Jak2	6	up
GO:2000106	BP	GO:2000106	regulation of leukocyte apoptotic process	9/364	129/28928	0.069767442	5.54459494	5.83974938	3.90E-05	0.00027552	0.000164866	Fcer1g/Cd74/Ccr5/Fcgr2b/Cd44/Bcl3/Hcls1/Lyn/Pik3cd	9	up
GO:0050678	BP	GO:0050678	regulation of epithelial cell proliferation	17/364	432/28928	0.039351852	3.127391127	5.029098518	3.95E-05	0.000278655	0.000166742	B2m/Ctsl/Mmp12/Arg1/Grn/Ccl2/Thbs1/Cyba/Xdh/Stat1/Dab2/Pik3cd/Jun/Sulf1/Ecm1/Htra1/Errfi1	17	up
GO:0090594	BP	GO:0090594	inflammatory response to wounding	5/364	31/28928	0.161290323	12.81814959	7.431848165	3.98E-05	0.000278943	0.000166914	Ccr2/Grn/Timp1/Cd44/Ptpn6	5	up
GO:0008347	BP	GO:0008347	glial cell migration	7/364	74/28928	0.094594595	7.517671518	6.337211364	4.11E-05	0.000287077	0.000171781	Vim/Ccr2/Ccl2/Mmp14/Col3a1/Trem2/P2rx4	7	up
GO:0140895	BP	GO:0140895	cell surface toll-like receptor signaling pathway	7/364	74/28928	0.094594595	7.517671518	6.337211364	4.11E-05	0.000287077	0.000171781	Acod1/Cyba/Cd14/Lyn/Trem2/Pik3ap1/Tlr2	7	up
GO:0006979	BP	GO:0006979	response to oxidative stress	17/364	434/28928	0.039170507	3.112979187	5.006753976	4.18E-05	0.000291413	0.000174376	Mmp3/Apod/Sod3/Psap/Ptgs2/Mmp14/Btg1/Aif1/Cd38/Cfl1/Sirpa/Jun/Gch1/Slc8a1/Trex1/Lig1/Jak2	17	up
GO:0007565	BP	GO:0007565	female pregnancy	12/364	232/28928	0.051724138	4.110647973	5.370034223	4.21E-05	0.000292624	0.0001751	Ctsb/Ctsl/Mmp12/Grn/Ccl2/Acod1/Timp1/Ptgs2/H2-Q7/Rgs2/Cd38/Errfi1	12	up
GO:0120162	BP	GO:0120162	positive regulation of cold-induced thermogenesis	8/364	101/28928	0.079207921	6.294853661	6.017385038	4.25E-05	0.000294752	0.000176374	Fabp5/Ccr2/Cebpb/Il4ra/Dio2/Syk/Cmklr1/Jak2	8	up
GO:0006953	BP	GO:0006953	acute-phase response	6/364	51/28928	0.117647059	9.349709114	6.737104362	4.26E-05	0.000294752	0.000176374	Saa3/Il1b/Serpina3n/Hp/Ccr5/Ptgs2	6	up
GO:1901136	BP	GO:1901136	carbohydrate derivative catabolic process	13/364	271/28928	0.04797048	3.812335266	5.250845669	4.44E-05	0.000306778	0.00018357	Ctsl/Cemip/Mmp12/Samhd1/Psap/Cd44/Xdh/Gusb/Hexa/Aoah/Pde7b/Pfkfb3/Trex1	13	up
GO:0051216	BP	GO:0051216	cartilage development	12/364	234/28928	0.051282051	4.075514229	5.332403439	4.57E-05	0.000315748	0.000188938	Tgfbi/Thbs1/Timp1/Bgn/Col3a1/Runx1/Maf/Sulf1/Ecm1/Arid5a/Slc39a14/Errfi1	12	up
GO:0071887	BP	GO:0071887	leukocyte apoptotic process	10/364	164/28928	0.06097561	4.845885821	5.57553502	4.65E-05	0.000320141	0.000191566	Fcer1g/Cd74/Itgam/Ccr5/Fcgr2b/Cd44/Bcl3/Hcls1/Lyn/Pik3cd	10	up
GO:0002825	BP	GO:0002825	regulation of T-helper 1 type immune response	5/364	32/28928	0.15625	12.41758242	7.294964075	4.67E-05	0.000320868	0.000192001	Il1b/Ccr2/Irf1/Il4ra/Arid5a	5	up
GO:0043032	BP	GO:0043032	positive regulation of macrophage activation	5/364	32/28928	0.15625	12.41758242	7.294964075	4.67E-05	0.000320868	0.000192001	Ctsc/Thbs1/Il4ra/Trem2/Irgm1	5	up
GO:0042088	BP	GO:0042088	T-helper 1 type immune response	6/364	52/28928	0.115384615	9.169907016	6.656457238	4.76E-05	0.000325647	0.000194861	Il1b/Ccr2/Irf1/Bcl3/Il4ra/Arid5a	6	up
GO:2000404	BP	GO:2000404	regulation of T cell migration	6/364	52/28928	0.115384615	9.169907016	6.656457238	4.76E-05	0.000325647	0.000194861	Apod/Ccr2/Coro1a/Cxcl10/Aif1/Ecm1	6	up
GO:0031099	BP	GO:0031099	regeneration	12/364	236/28928	0.050847458	4.040975973	5.295188887	4.97E-05	0.000339213	0.000202978	Apod/Lcp1/Cebpb/Grn/Ccl2/Cxcl5/Tnc/Jun/Igsf10/Map4k4/Diaph2/Jak2	12	up
GO:0007204	BP	GO:0007204	positive regulation of cytosolic calcium ion concentration	11/364	200/28928	0.055	4.370989011	5.400233218	5.03E-05	0.000343286	0.000205416	Il1b/Ccr2/Cd52/Ccr5/C3ar1/Ccr1/Cd38/Slc8a1/P2rx4/Cmklr1/Jak2	11	up
GO:0051402	BP	GO:0051402	neuron apoptotic process	16/364	398/28928	0.040201005	3.194875476	4.977295366	5.17E-05	0.000349659	0.000209229	Clu/Il1b/Ctsb/Lgmn/Coro1a/Cebpb/Grn/Ccr5/Fcgr2b/Arrb2/Jun/Ncf2/Gch1/Trem2/Ntf3/Jak2	16	up
GO:0043542	BP	GO:0043542	endothelial cell migration	12/364	237/28928	0.050632911	4.023925442	5.276735029	5.17E-05	0.000349659	0.000209229	Lgmn/Grn/Zeb2/Itgb2/Thbs1/Ptgs2/S100a9/Sp100/Pik3cd/Prcp/P2rx4/Smoc2	12	up
GO:0007040	BP	GO:0007040	lysosome organization	8/364	104/28928	0.076923077	6.113271344	5.897001828	5.25E-05	0.000353315	0.000211417	Laptm5/Coro1a/Grn/Abca1/Hexa/Irgm1/Acp2/Trex1	8	up
GO:0080171	BP	GO:0080171	lytic vacuole organization	8/364	104/28928	0.076923077	6.113271344	5.897001828	5.25E-05	0.000353315	0.000211417	Laptm5/Coro1a/Grn/Abca1/Hexa/Irgm1/Acp2/Trex1	8	up
GO:0007520	BP	GO:0007520	myoblast fusion	6/364	53/28928	0.113207547	8.996889903	6.577955523	5.31E-05	0.000356166	0.000213123	Cxcl10/Cd53/Il4ra/Ccl8/Dock2/Plekho1	6	up
GO:0046456	BP	GO:0046456	icosanoid biosynthetic process	6/364	53/28928	0.113207547	8.996889903	6.577955523	5.31E-05	0.000356166	0.000213123	Il1b/Fabp5/Cd74/Ptgs2/Alox5ap/Syk	6	up
GO:1903532	BP	GO:1903532	positive regulation of secretion by cell	16/364	399/28928	0.040100251	3.18686827	4.965450696	5.32E-05	0.000356166	0.000213123	Il1b/Fcer1g/Spp1/Itgam/Itgb2/Fgr/Il4ra/Runx1/Dab2/Cd38/Ptafr/Trem2/Rab8b/Tlr2/Syk/Jak2	16	up
GO:0062208	BP	GO:0062208	positive regulation of pattern recognition receptor signaling pathway	7/364	77/28928	0.090909091	7.224775225	6.17421116	5.32E-05	0.000356166	0.000213123	Cyba/Rsad2/Gbp2/Cd14/Ddx60/Pik3ap1/Gbp5	7	up
GO:0035455	BP	GO:0035455	response to interferon-alpha	5/364	33/28928	0.151515152	12.04129204	7.164046483	5.45E-05	0.000362787	0.000217085	Ifitm3/Ifit1/Ifitm1/Ifi204/Bst2	5	up
GO:0046639	BP	GO:0046639	negative regulation of alpha-beta T cell differentiation	5/364	33/28928	0.151515152	12.04129204	7.164046483	5.45E-05	0.000362787	0.000217085	Pf4/Lgals1/Irf1/Il4ra/Runx1	5	up
GO:0050858	BP	GO:0050858	negative regulation of antigen receptor-mediated signaling pathway	5/364	33/28928	0.151515152	12.04129204	7.164046483	5.45E-05	0.000362787	0.000217085	Laptm5/Lilrb4a/Plcl2/Ptprj/Ptpn6	5	up
GO:0097553	BP	GO:0097553	calcium ion transmembrane import into cytosol	11/364	202/28928	0.054455446	4.327711892	5.357679161	5.51E-05	0.000366028	0.000219024	Cemip/Coro1a/Ptprc/Ccr5/Cyba/Cxcl10/Lyn/Slc8a1/P2ry6/P2rx4/Ptpn6	11	up
GO:0032677	BP	GO:0032677	regulation of interleukin-8 production	7/364	78/28928	0.08974359	7.132149901	6.121812626	5.79E-05	0.000383809	0.000229664	Il1b/Cd74/Ptprc/Bcl3/Cd14/Tlr2/Syk	7	up
GO:0072331	BP	GO:0072331	signal transduction by p53 class mediator	10/364	169/28928	0.059171598	4.702516418	5.44937045	5.99E-05	0.000396392	0.000237193	Cd74/Ifi204/Cd44/Ifi207/Bcl3/Sp100/Mndal/Shisa5/Steap3/Ifi203	10	up
GO:0010959	BP	GO:0010959	regulation of metal ion transport	17/364	447/28928	0.03803132	3.022445116	4.864584671	6.02E-05	0.000397955	0.000238129	B2m/Cemip/Coro1a/Fxyd5/Ptgs2/Cyba/Cxcl10/Ccr1/Arrb2/Lyn/Trem2/Slc8a1/Icam1/P2ry6/P2rx4/Cd84/Ptpn6	17	up
GO:0019722	BP	GO:0019722	calcium-mediated signaling	12/364	241/28928	0.049792531	3.957138297	5.203918278	6.08E-05	0.000400978	0.000239938	Ccr2/Ptprc/Ccr5/C3ar1/Ccr1/Trem2/Slc8a1/Irgm1/P2rx4/Syk/Ptprj/Cmklr1	12	up
GO:0002752	BP	GO:0002752	cell surface pattern recognition receptor signaling pathway	7/364	79/28928	0.088607595	7.041869523	6.07033115	6.28E-05	0.000413112	0.000247198	Acod1/Cyba/Cd14/Lyn/Trem2/Pik3ap1/Tlr2	7	up
GO:0032637	BP	GO:0032637	interleukin-8 production	7/364	79/28928	0.088607595	7.041869523	6.07033115	6.28E-05	0.000413112	0.000247198	Il1b/Cd74/Ptprc/Bcl3/Cd14/Tlr2/Syk	7	up
GO:0001911	BP	GO:0001911	negative regulation of leukocyte mediated cytotoxicity	5/364	34/28928	0.147058824	11.68713639	7.038657836	6.33E-05	0.000413908	0.000247674	Ptprc/Tap1/Arrb2/Nckap1l/Clec2d	5	up
GO:0006910	BP	GO:0006910	phagocytosis, recognition	5/364	34/28928	0.147058824	11.68713639	7.038657836	6.33E-05	0.000413908	0.000247674	Fcgr3/Fcgr1/Cfp/Sirpa/Trem2	5	up
GO:0033198	BP	GO:0033198	response to ATP	5/364	34/28928	0.147058824	11.68713639	7.038657836	6.33E-05	0.000413908	0.000247674	Il1b/Ccl2/Ptgs2/Slc8a1/P2rx4	5	up
GO:0071560	BP	GO:0071560	cellular response to transforming growth factor beta stimulus	13/364	281/28928	0.046263345	3.676664972	5.089797206	6.42E-05	0.000419351	0.000250932	Lox/Ccl2/Zeb2/Thbs1/Col3a1/Runx1/Dab2/Arrb2/Pmepa1/Jun/Nrros/Htra1/Arid4a	13	up
GO:0002714	BP	GO:0002714	positive regulation of B cell mediated immunity	6/364	55/28928	0.109090909	8.66973027	6.427000854	6.57E-05	0.000425363	0.000254529	Fcer1g/Fcgr3/Ptprc/Fcgr1/C3/Trem2	6	up
GO:0002891	BP	GO:0002891	positive regulation of immunoglobulin mediated immune response	6/364	55/28928	0.109090909	8.66973027	6.427000854	6.57E-05	0.000425363	0.000254529	Fcer1g/Fcgr3/Ptprc/Fcgr1/C3/Trem2	6	up
GO:0051347	BP	GO:0051347	positive regulation of transferase activity	15/364	364/28928	0.041208791	3.274966791	4.93070612	6.69E-05	0.00043284	0.000259003	Il1b/Cemip/Cd74/Csf1r/Ptprc/Zeb2/Thbs1/Arrb2/Trem2/Irgm1/Pik3r5/Lcp2/Syk/Ntf3/Jak2	15	up
GO:0061756	BP	GO:0061756	leukocyte adhesion to vascular endothelial cell	6/364	56/28928	0.107142857	8.514913658	6.354369303	7.28E-05	0.000469841	0.000281144	Ccr2/Itgam/Itgb2/Ptafr/Icam1/Vcam1	6	up
GO:0014009	BP	GO:0014009	glial cell proliferation	7/364	82/28928	0.085365854	6.78424015	5.921112596	7.98E-05	0.000514225	0.000307702	Clu/Il1b/Vim/Csf1r/Arrb2/Lyn/Trem2	7	up
GO:0071559	BP	GO:0071559	response to transforming growth factor beta	13/364	288/28928	0.045138889	3.587301587	4.981379962	8.23E-05	0.000527063	0.000315384	Lox/Ccl2/Zeb2/Thbs1/Col3a1/Runx1/Dab2/Arrb2/Pmepa1/Jun/Nrros/Htra1/Arid4a	13	up
GO:0002377	BP	GO:0002377	immunoglobulin production	9/364	143/28928	0.062937063	5.001767463	5.415388621	8.70E-05	0.000555169	0.000332203	Ptprc/Samhd1/Fcgr2b/Lilrb4a/Il4ra/Il13ra1/Trex1/Itm2a/Pou2f2	9	up
GO:0046683	BP	GO:0046683	response to organophosphorus	9/364	143/28928	0.062937063	5.001767463	5.415388621	8.70E-05	0.000555169	0.000332203	Il1b/Ccl2/Ptgs2/Stat1/Ptafr/Slc8a1/P2ry6/P2rx4/Errfi1	9	up
GO:0050878	BP	GO:0050878	regulation of body fluid levels	15/364	373/28928	0.040214477	3.195946145	4.818677886	8.78E-05	0.000559791	0.000334968	Fcer1g/Pf4/Thbs1/Cyba/Plek/Xdh/Lilrb4a/S100a9/Lyn/Emilin2/F13a1/Syk/Ptprj/Ptpn6/Jak2	15	up
GO:0014013	BP	GO:0014013	regulation of gliogenesis	9/364	144/28928	0.0625	4.967032967	5.387215642	9.18E-05	0.000583812	0.000349342	Il1b/Vim/Csf1r/Tnfrsf1b/Arrb2/Lyn/Trem2/Tlr2/Ntf3	9	up
GO:0001913	BP	GO:0001913	T cell mediated cytotoxicity	7/364	84/28928	0.083333333	6.622710623	5.825732104	9.30E-05	0.000589883	0.000352975	H2-K1/B2m/H2-D1/Ctsc/Ptprc/H2-Q7/Nckap1l	7	up
GO:0007566	BP	GO:0007566	embryo implantation	7/364	84/28928	0.083333333	6.622710623	5.825732104	9.30E-05	0.000589883	0.000352975	Mmp12/Grn/Acod1/Timp1/Ptgs2/H2-Q7/Errfi1	7	up
GO:0034765	BP	GO:0034765	regulation of monoatomic ion transmembrane transport	15/364	375/28928	0.04	3.178901099	4.794244255	9.32E-05	0.000590076	0.00035309	Ctss/Cemip/Ccr2/Coro1a/Stom/Fxyd5/Ccl2/Cyba/Cxcl10/Lyn/Trem2/Slc8a1/P2ry6/P2rx4/Ptpn6	15	up
GO:0071604	BP	GO:0071604	transforming growth factor beta production	5/364	37/28928	0.135135135	10.73953074	6.691916063	9.61E-05	0.000606273	0.000362782	Tyrobp/Thbs1/Ptgs2/Col3a1/Lum	5	up
GO:2000316	BP	GO:2000316	regulation of T-helper 17 type immune response	5/364	37/28928	0.135135135	10.73953074	6.691916063	9.61E-05	0.000606273	0.000362782	Pf4/Lgals1/Clec4n/Arid5a/Jak2	5	up
GO:0061448	BP	GO:0061448	connective tissue development	14/364	334/28928	0.041916168	3.331183786	4.837323902	9.74E-05	0.000613371	0.000367029	Tgfbi/Lox/Thbs1/Timp1/Bgn/Col3a1/C3ar1/Runx1/Maf/Sulf1/Ecm1/Arid5a/Slc39a14/Errfi1	14	up
GO:0009743	BP	GO:0009743	response to carbohydrate	13/364	293/28928	0.044368601	3.526084837	4.905982851	9.78E-05	0.000615058	0.000368039	Il1b/Ctsl/Ccl2/Thbs1/Ptgs2/Lyn/Ncf2/Trem2/Icam1/Efna5/Vcam1/Map4k4/Slc39a14	13	up
GO:0045860	BP	GO:0045860	positive regulation of protein kinase activity	13/364	296/28928	0.043918919	3.49034749	4.861528553	0.000108234	0.000674299	0.000403487	Il1b/Cemip/Csf1r/Ptprc/Zeb2/Thbs1/Arrb2/Irgm1/Pik3r5/Lcp2/Syk/Ntf3/Jak2	13	up
GO:0031345	BP	GO:0031345	negative regulation of cell projection organization	11/364	218/28928	0.050458716	4.010081661	5.035966191	0.000108891	0.000677313	0.000405291	H2-K1/B2m/Vim/H2-D1/Ccr5/Lgals1/Dab2/Cd38/Cfl1/Map4k4/Diaph2	11	up
GO:0071404	BP	GO:0071404	cellular response to low-density lipoprotein particle stimulus	5/364	38/28928	0.131578947	10.45691151	6.585067485	0.000109493	0.000678892	0.000406236	Fcer1g/Itgb2/Cd68/Trem2/Syk	5	up
GO:0090023	BP	GO:0090023	positive regulation of neutrophil chemotaxis	5/364	38/28928	0.131578947	10.45691151	6.585067485	0.000109493	0.000678892	0.000406236	Camk1d/Il1b/Cd74/C3ar1/Nckap1l	5	up
GO:0051100	BP	GO:0051100	negative regulation of binding	9/364	148/28928	0.060810811	4.832788833	5.277074589	0.000113181	0.000700642	0.00041925	B2m/Ifi207/Dab2/Sp100/Mndal/Jun/Ifi203/Slpi/Jak2	9	up
GO:2001235	BP	GO:2001235	positive regulation of apoptotic signaling pathway	10/364	183/28928	0.054644809	4.342761064	5.120856439	0.000116098	0.00071709	0.000429093	Clu/Ctss/Ctsl/S100a8/Ctsc/Ptprc/Thbs1/S100a9/Steap3/Jak2	10	up
GO:0048041	BP	GO:0048041	focal adhesion assembly	7/364	87/28928	0.08045977	6.394341291	5.688342877	0.000116205	0.00071709	0.000429093	Apod/Mmp14/Cfl1/Efna5/Map4k4/Ptprj/Actn1	7	up
GO:0043303	BP	GO:0043303	mast cell degranulation	6/364	61/28928	0.098360656	7.816969915	6.016561304	0.000118043	0.000726133	0.000434504	Fcer1g/Fgr/Il4ra/Lyn/Cd84/Syk	6	up
GO:0050918	BP	GO:0050918	positive chemotaxis	6/364	61/28928	0.098360656	7.816969915	6.016561304	0.000118043	0.000726133	0.000434504	Saa3/Coro1a/Cxcl10/S100a4/Ptprj/Ntf3	6	up
GO:0006816	BP	GO:0006816	calcium ion transport	17/364	473/28928	0.035940803	2.856306484	4.595088017	0.00011929	0.000732649	0.000438403	Cemip/Coro1a/Ptprc/Ccr5/Ptgs2/Cyba/Cxcl10/Ccr1/Ccl8/Arrb2/Lyn/Slc8a1/Icam1/P2ry6/P2rx4/Cd84/Ptpn6	17	up
GO:0046718	BP	GO:0046718	symbiont entry into host cell	8/364	117/28928	0.068376068	5.434018972	5.425055545	0.000120578	0.00073939	0.000442437	Ctsb/Cd74/Ifitm3/Ly6e/Ifitm1/Lgals1/Cd300lf/Cd300ld	8	up
GO:0031342	BP	GO:0031342	negative regulation of cell killing	5/364	39/28928	0.128205128	10.18878557	6.482119656	0.000124308	0.000756319	0.000452567	Ptprc/Tap1/Arrb2/Nckap1l/Clec2d	5	up
GO:0033032	BP	GO:0033032	regulation of myeloid cell apoptotic process	5/364	39/28928	0.128205128	10.18878557	6.482119656	0.000124308	0.000756319	0.000452567	Fcer1g/Ccr5/Fcgr2b/Cd44/Pik3cd	5	up
GO:0034110	BP	GO:0034110	regulation of homotypic cell-cell adhesion	5/364	39/28928	0.128205128	10.18878557	6.482119656	0.000124308	0.000756319	0.000452567	Lgals1/Lyn/Emilin2/Syk/Jak2	5	up
GO:0055094	BP	GO:0055094	response to lipoprotein particle	5/364	39/28928	0.128205128	10.18878557	6.482119656	0.000124308	0.000756319	0.000452567	Fcer1g/Itgb2/Cd68/Trem2/Syk	5	up
GO:1903901	BP	GO:1903901	negative regulation of viral life cycle	5/364	39/28928	0.128205128	10.18878557	6.482119656	0.000124308	0.000756319	0.000452567	Cd74/Ifitm3/Ly6e/Ifitm1/Bst2	5	up
GO:2000107	BP	GO:2000107	negative regulation of leukocyte apoptotic process	7/364	88/28928	0.079545455	6.321678322	5.643976604	0.000124901	0.000757567	0.000453313	Fcer1g/Cd74/Ccr5/Fcgr2b/Cd44/Bcl3/Hcls1	7	up
GO:0051702	BP	GO:0051702	biological process involved in interaction with symbiont	8/364	118/28928	0.06779661	5.387967964	5.391699759	0.00012795	0.000774855	0.000463658	Csf1r/Arg1/Stom/Cxcl5/Ccl8/Ncf1/Cfl1/Jun	8	up
GO:0120161	BP	GO:0120161	regulation of cold-induced thermogenesis	9/364	151/28928	0.059602649	4.736773161	5.197031242	0.00013186	0.000797295	0.000477086	Fabp5/Ccr2/Cebpb/Il4ra/Dio2/Syk/Plcl2/Cmklr1/Jak2	9	up
GO:0000302	BP	GO:0000302	response to reactive oxygen species	11/364	223/28928	0.049327354	3.920169517	4.941679742	0.000132968	0.000802749	0.000480349	Mmp3/Apod/Sod3/Psap/Cfl1/Sirpa/Jun/Gch1/Slc8a1/Trex1/Lig1	11	up
GO:0051346	BP	GO:0051346	negative regulation of hydrolase activity	13/364	303/28928	0.04290429	3.4097124	4.759996753	0.000136454	0.000822521	0.000492181	Serpina3n/Grn/Wfdc2/Thbs1/Timp1/Ptgs2/Cd44/Ifi207/Rgs2/Mndal/Ecm1/Ifi203/Slpi	13	up
GO:0030212	BP	GO:0030212	hyaluronan metabolic process	5/364	40/28928	0.125	9.934065934	6.382830162	0.000140611	0.000844964	0.00050561	Il1b/Cemip/Cd44/Gusb/Hexa	5	up
GO:0045672	BP	GO:0045672	positive regulation of osteoclast differentiation	5/364	40/28928	0.125	9.934065934	6.382830162	0.000140611	0.000844964	0.00050561	Csf1r/Tyrobp/Ccl9/Ccr1/Trem2	5	up
GO:0002448	BP	GO:0002448	mast cell mediated immunity	6/364	63/28928	0.095238095	7.56881214	5.892020009	0.000141433	0.000847297	0.000507006	Fcer1g/Fgr/Il4ra/Lyn/Cd84/Syk	6	up
GO:0010812	BP	GO:0010812	negative regulation of cell-substrate adhesion	6/364	63/28928	0.095238095	7.56881214	5.892020009	0.000141433	0.000847297	0.000507006	Apod/Mmp12/Thbs1/Mmp14/Lgals1/Efna5	6	up
GO:0044409	BP	GO:0044409	symbiont entry into host	8/364	120/28928	0.066666667	5.298168498	5.326113084	0.000143815	0.00086024	0.000514751	Ctsb/Cd74/Ifitm3/Ly6e/Ifitm1/Lgals1/Cd300lf/Cd300ld	8	up
GO:0043122	BP	GO:0043122	regulation of canonical NF-kappaB signal transduction	12/364	265/28928	0.045283019	3.598755961	4.797560842	0.000148985	0.000889805	0.000532442	Il1b/Cd74/Clec4d/Lilrb4a/Stat1/Arrb2/S100a4/Litaf/Clec4n/Trem2/Gbp7/Irgm1	12	up
GO:0051893	BP	GO:0051893	regulation of focal adhesion assembly	6/364	64/28928	0.09375	7.450549451	5.831782461	0.000154428	0.000912531	0.000546041	Apod/Mmp14/Cfl1/Efna5/Map4k4/Ptprj	6	up
GO:0070527	BP	GO:0070527	platelet aggregation	6/364	64/28928	0.09375	7.450549451	5.831782461	0.000154428	0.000912531	0.000546041	Plek/Lyn/Emilin2/Syk/Ptpn6/Jak2	6	up
GO:0090109	BP	GO:0090109	regulation of cell-substrate junction assembly	6/364	64/28928	0.09375	7.450549451	5.831782461	0.000154428	0.000912531	0.000546041	Apod/Mmp14/Cfl1/Efna5/Map4k4/Ptprj	6	up
GO:0002244	BP	GO:0002244	hematopoietic progenitor cell differentiation	10/364	190/28928	0.052631579	4.182764604	4.968736056	0.000157897	0.000931614	0.00055746	Cebpd/Ptprc/Plek/Runx1/Lyn/Sirpa/Herc6/Pld4/Trex1/Ptpn6	10	up
GO:0032692	BP	GO:0032692	negative regulation of interleukin-1 production	5/364	41/28928	0.12195122	9.691771643	6.286977307	0.0001585	0.000932352	0.000557901	Lilrb4a/Arrb2/Trem2/Errfi1/Il1r2	5	up
GO:0071624	BP	GO:0071624	positive regulation of granulocyte chemotaxis	5/364	41/28928	0.12195122	9.691771643	6.286977307	0.0001585	0.000932352	0.000557901	Camk1d/Il1b/Cd74/C3ar1/Nckap1l	5	up
GO:0106106	BP	GO:0106106	cold-induced thermogenesis	9/364	155/28928	0.058064516	4.614533853	5.093525096	0.000160714	0.000943954	0.000564844	Fabp5/Ccr2/Cebpb/Il4ra/Dio2/Syk/Plcl2/Cmklr1/Jak2	9	up
GO:0015833	BP	GO:0015833	peptide transport	14/364	351/28928	0.03988604	3.169844401	4.617072668	0.000163345	0.000957964	0.000573227	Il1b/Cd74/S100a8/Abca1/Tap1/S100a9/Cd38/Dio2/Efna5/Rab8b/Cwh43/Mfsd1/Map4k4/Jak2	14	up
GO:0039532	BP	GO:0039532	negative regulation of cytoplasmic pattern recognition receptor signaling pathway	6/364	65/28928	0.092307692	7.335925613	5.772831627	0.000168349	0.000984352	0.000589017	Ifi207/Mndal/Trem2/Irgm1/Trex1/Ifi203	6	up
