	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Eif3a	2.41E-05	0.132164426	0.123	0.104	0.588357448	RIR	Eif3a
Fgd3	2.50E-05	0.599598027	0.028	0.019	0.609362885	RIR	Fgd3
Cd82	2.50E-05	-0.434124373	0.076	0.091	0.610723285	RIR	Cd82
Rpl23a	2.50E-05	-0.247941171	0.348	0.361	0.610757379	RIR	Rpl23a
Lancl1	2.54E-05	-0.634579833	0.048	0.061	0.62036429	RIR	Lancl1
Pim1	2.58E-05	0.306415277	0.055	0.042	0.629107957	RIR	Pim1
Macf1	2.65E-05	0.270618847	0.124	0.105	0.647192209	RIR	Macf1
Col11a1	2.66E-05	0.667226536	0.025	0.016	0.647350357	RIR	Col11a1
Cep350	2.79E-05	0.315022821	0.047	0.035	0.679608122	RIR	Cep350
Snx18	2.80E-05	0.516203317	0.019	0.011	0.682850331	RIR	Snx18
Ogn	2.88E-05	-0.499399909	0.051	0.064	0.703245723	RIR	Ogn
Xaf1	2.91E-05	0.769279517	0.012	0.006	0.709130478	RIR	Xaf1
Tmem131l	2.91E-05	0.385157279	0.033	0.023	0.709263594	RIR	Tmem131l
Postn	3.00E-05	0.347922168	0.074	0.059	0.731715419	RIR	Postn
Dse	3.05E-05	0.438719199	0.018	0.011	0.744213769	RIR	Dse
Epha4	3.07E-05	0.417918461	0.048	0.036	0.747433558	RIR	Epha4
Lcn2	3.08E-05	1.392924054	0.01	0.005	0.751555353	RIR	Lcn2
Rab3il1	3.11E-05	0.647487331	0.013	0.007	0.758173916	RIR	Rab3il1
Dock8	3.23E-05	0.733204053	0.023	0.015	0.788256169	RIR	Dock8
Fam111a	3.25E-05	0.554874129	0.039	0.029	0.792548165	RIR	Fam111a
Vav3	3.26E-05	0.341188823	0.036	0.025	0.794880426	RIR	Vav3
Slit3	3.31E-05	-0.535753652	0.04	0.051	0.807500259	RIR	Slit3
Arhgap18	3.32E-05	0.588347754	0.031	0.021	0.809825229	RIR	Arhgap18
Lgalsl	3.39E-05	-0.627262348	0.023	0.032	0.826266595	RIR	Lgalsl
Dpt	3.41E-05	0.623699499	0.046	0.035	0.830766105	RIR	Dpt
Sh3bp2	3.45E-05	0.749281969	0.017	0.011	0.840339889	RIR	Sh3bp2
Naa38	3.45E-05	-0.611864597	0.034	0.045	0.840711334	RIR	Naa38
Stk39	3.46E-05	-0.524857687	0.021	0.029	0.844283393	RIR	Stk39
Elmo1	3.48E-05	0.633681777	0.029	0.02	0.849046246	RIR	Elmo1
Itgav	3.54E-05	0.411415984	0.057	0.045	0.862743544	RIR	Itgav
