	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
S100a9	4.90E-16	5.527528062	0.041	0.002	1.19E-11	RIR	S100a9
Sirpa	5.29E-16	1.400219376	0.106	0.041	1.29E-11	RIR	Sirpa
Hspa8	6.47E-16	0.496557842	0.423	0.306	1.58E-11	RIR	Hspa8
Gja1	7.53E-16	-0.729668507	0.268	0.351	1.84E-11	RIR	Gja1
Rrbp1	7.59E-16	0.890999633	0.12	0.05	1.85E-11	RIR	Rrbp1
Fcgr2b	9.53E-16	2.286752159	0.058	0.011	2.32E-11	RIR	Fcgr2b
Stab1	9.62E-16	1.876909771	0.092	0.032	2.34E-11	RIR	Stab1
H2-Ab1	1.16E-15	1.401508468	0.065	0.015	2.83E-11	RIR	H2-Ab1
Actr3	1.23E-15	1.068364994	0.107	0.042	2.99E-11	RIR	Actr3
Cd53	1.71E-15	3.394931024	0.039	0.001	4.17E-11	RIR	Cd53
Fcgr1	2.33E-15	2.550351323	0.042	0.003	5.67E-11	RIR	Fcgr1
Cstb	2.36E-15	1.069747573	0.136	0.065	5.74E-11	RIR	Cstb
Ccr2	2.53E-15	3.73179604	0.047	0.005	6.16E-11	RIR	Ccr2
Ecm1	2.96E-15	1.550840906	0.093	0.033	7.22E-11	RIR	Ecm1
Abca1	3.70E-15	1.90690629	0.068	0.018	9.01E-11	RIR	Abca1
Hexa	3.94E-15	0.834498967	0.214	0.126	9.62E-11	RIR	Hexa
Timp1	5.46E-15	2.956046005	0.043	0.004	1.33E-10	RIR	Timp1
Zc3h7a	7.41E-15	0.646610597	0.332	0.229	1.81E-10	RIR	Zc3h7a
Gm20383	9.61E-15	-1.648453237	0.027	0.069	2.34E-10	RIR	Gm20383
Sat1	1.08E-14	1.184501153	0.096	0.036	2.64E-10	RIR	Sat1
Rpl4	1.13E-14	0.364097744	0.375	0.269	2.75E-10	RIR	Rpl4
Arpc3	1.30E-14	0.932604956	0.107	0.045	3.16E-10	RIR	Arpc3
Ly6c2	1.36E-14	9.961188319	0.034	0	3.33E-10	RIR	Ly6c2
Ndnf	1.38E-14	1.934659449	0.054	0.01	3.36E-10	RIR	Ndnf
Rplp0	1.77E-14	0.267442577	0.39	0.283	4.32E-10	RIR	Rplp0
Clec4d	3.84E-14	4.259805604	0.035	0.001	9.36E-10	RIR	Clec4d
Clic1	4.16E-14	0.959362531	0.148	0.077	1.01E-09	RIR	Clic1
Acod1	4.39E-14	9.891456444	0.033	0	1.07E-09	RIR	Acod1
Gda	5.47E-14	3.498298043	0.049	0.008	1.33E-09	RIR	Gda
Hbb-bt	6.01E-14	-4.070532664	0.008	0.033	1.47E-09	RIR	Hbb-bt
Cd68	6.02E-14	2.740056329	0.054	0.011	1.47E-09	RIR	Cd68
Plbd1	7.87E-14	9.677776157	0.032	0	1.92E-09	RIR	Plbd1
Mafb	7.98E-14	2.828079269	0.052	0.01	1.95E-09	RIR	Mafb
Wfdc1	8.25E-14	-1.888103547	0.031	0.072	2.01E-09	RIR	Wfdc1
Picalm	8.37E-14	0.97449863	0.142	0.073	2.04E-09	RIR	Picalm
Col6a6	8.60E-14	1.583095405	0.093	0.036	2.10E-09	RIR	Col6a6
Socs3	8.78E-14	3.76411667	0.038	0.003	2.14E-09	RIR	Socs3
Bst2	9.13E-14	0.539744838	0.116	0.053	2.23E-09	RIR	Bst2
Eef2	1.05E-13	0.410171833	0.457	0.355	2.56E-09	RIR	Eef2
Ly6e	1.11E-13	1.473386412	0.082	0.029	2.69E-09	RIR	Ly6e
Sdcbp	1.20E-13	1.031999716	0.17	0.094	2.93E-09	RIR	Sdcbp
Slfn2	1.43E-13	3.24552098	0.047	0.008	3.50E-09	RIR	Slfn2
Cox8a	1.52E-13	-0.88889516	0.268	0.337	3.72E-09	RIR	Cox8a
Malat1	1.72E-13	-0.484175867	0.716	0.728	4.18E-09	RIR	Malat1
Slc22a17	1.74E-13	-1.526031379	0.058	0.11	4.24E-09	RIR	Slc22a17
Plek	1.97E-13	2.74336216	0.044	0.006	4.79E-09	RIR	Plek
Trpm3	2.13E-13	-1.150649582	0.249	0.317	5.19E-09	RIR	Trpm3
Cltc	2.43E-13	0.457131204	0.176	0.1	5.92E-09	RIR	Cltc
Psmb8	2.67E-13	1.402169483	0.086	0.033	6.50E-09	RIR	Psmb8
Mrc1	2.69E-13	2.365703524	0.052	0.011	6.56E-09	RIR	Mrc1
Actr2	3.38E-13	0.68728185	0.124	0.06	8.23E-09	RIR	Actr2
Cacng4	3.57E-13	-0.880676036	0.026	0.065	8.71E-09	RIR	Cacng4
Nfkbia	3.81E-13	1.185068552	0.112	0.052	9.28E-09	RIR	Nfkbia
Aqp1	4.16E-13	0.541235646	0.207	0.128	1.01E-08	RIR	Aqp1
Rpl6	4.34E-13	0.47178914	0.294	0.201	1.06E-08	RIR	Rpl6
Alox5ap	5.08E-13	2.592208547	0.036	0.003	1.24E-08	RIR	Alox5ap
Marcksl1	5.22E-13	0.993950571	0.053	0.012	1.27E-08	RIR	Marcksl1
Rps6	5.38E-13	0.552408816	0.271	0.182	1.31E-08	RIR	Rps6
Ldha	6.07E-13	0.607253074	0.215	0.134	1.48E-08	RIR	Ldha
S100a8	6.67E-13	9.986884878	0.03	0	1.63E-08	RIR	S100a8
Mgp	6.83E-13	0.826193665	0.201	0.125	1.66E-08	RIR	Mgp
Serinc3	7.18E-13	0.515570221	0.21	0.128	1.75E-08	RIR	Serinc3
Ifi27l2a	7.61E-13	1.844932776	0.057	0.015	1.86E-08	RIR	Ifi27l2a
Sbno2	8.08E-13	1.406745316	0.044	0.007	1.97E-08	RIR	Sbno2
Pitpna	8.35E-13	0.993546863	0.074	0.025	2.04E-08	RIR	Pitpna
Aoah	8.50E-13	3.93573086	0.039	0.005	2.07E-08	RIR	Aoah
Ehd1	8.66E-13	1.865637548	0.064	0.019	2.11E-08	RIR	Ehd1
Rps4x	8.89E-13	0.184513768	0.312	0.216	2.17E-08	RIR	Rps4x
Skap2	9.78E-13	2.843181218	0.053	0.012	2.38E-08	RIR	Skap2
Ahnak	1.13E-12	0.397564801	0.242	0.156	2.75E-08	RIR	Ahnak
Tpm4	1.32E-12	1.424043256	0.093	0.039	3.21E-08	RIR	Tpm4
Col9a1	1.42E-12	-1.3171726	0.027	0.065	3.47E-08	RIR	Col9a1
Lilrb4a	1.48E-12	6.46212052	0.03	0.001	3.61E-08	RIR	Lilrb4a
Aldoc	1.54E-12	-0.918616362	0.147	0.215	3.75E-08	RIR	Aldoc
Ctsh	1.69E-12	0.952028486	0.137	0.072	4.12E-08	RIR	Ctsh
Cd38	1.73E-12	2.773367364	0.04	0.005	4.22E-08	RIR	Cd38
Isg15	1.79E-12	1.74426057	0.099	0.044	4.37E-08	RIR	Isg15
Cyth4	1.82E-12	3.353325183	0.041	0.006	4.44E-08	RIR	Cyth4
Tuba1c	1.90E-12	1.006549392	0.087	0.035	4.64E-08	RIR	Tuba1c
Srgn	2.07E-12	2.326377289	0.043	0.007	5.05E-08	RIR	Srgn
Tprkb	2.16E-12	-1.023451156	0.055	0.105	5.26E-08	RIR	Tprkb
Cdk8	2.20E-12	0.313946156	0.911	0.85	5.37E-08	RIR	Cdk8
Ms4a7	2.29E-12	2.130093944	0.058	0.016	5.58E-08	RIR	Ms4a7
Tmsb10	2.40E-12	0.424127406	0.198	0.12	5.85E-08	RIR	Tmsb10
Fth1	2.40E-12	0.228310218	0.576	0.467	5.86E-08	RIR	Fth1
Itgb2	3.24E-12	3.907236567	0.037	0.004	7.91E-08	RIR	Itgb2
S100a4	3.27E-12	1.472962657	0.066	0.022	7.96E-08	RIR	S100a4
Col1a2	3.49E-12	0.503722754	0.241	0.159	8.52E-08	RIR	Col1a2
P4hb	3.54E-12	0.639314703	0.162	0.093	8.64E-08	RIR	P4hb
Clec4a1	3.76E-12	2.164173397	0.033	0.002	9.16E-08	RIR	Clec4a1
Col12a1	3.98E-12	1.000693777	0.085	0.035	9.71E-08	RIR	Col12a1
Iqgap1	4.58E-12	1.06091397	0.095	0.042	1.12E-07	RIR	Iqgap1
Sgk1	5.75E-12	-1.325646043	0.086	0.143	1.40E-07	RIR	Sgk1
P2rx4	6.60E-12	1.868528417	0.057	0.016	1.61E-07	RIR	P2rx4
Slfn5	7.05E-12	1.058772126	0.049	0.011	1.72E-07	RIR	Slfn5
Calm1	8.16E-12	0.417095033	0.244	0.163	1.99E-07	RIR	Calm1
Rps8	8.59E-12	0.275041157	0.473	0.367	2.09E-07	RIR	Rps8
Mmp3	8.67E-12	2.16595485	0.047	0.011	2.11E-07	RIR	Mmp3
Ier3	8.92E-12	1.105980265	0.077	0.029	2.17E-07	RIR	Ier3
Syngr2	1.03E-11	1.051528143	0.061	0.019	2.50E-07	RIR	Syngr2
Optc	1.20E-11	-0.726099796	0.121	0.186	2.92E-07	RIR	Optc
Ptpn6	1.21E-11	3.01842995	0.038	0.006	2.96E-07	RIR	Ptpn6
Defb9	1.22E-11	-1.488227536	0.013	0.04	2.97E-07	RIR	Defb9
Kctd12	1.25E-11	1.895604185	0.05	0.012	3.04E-07	RIR	Kctd12
Cd93	1.27E-11	2.666186456	0.047	0.011	3.11E-07	RIR	Cd93
Rps12	1.31E-11	0.254165044	0.464	0.361	3.19E-07	RIR	Rps12
Nckap1l	1.34E-11	3.433514953	0.038	0.006	3.26E-07	RIR	Nckap1l
C1s1	1.37E-11	0.746712018	0.072	0.026	3.34E-07	RIR	C1s1
Pde1a	1.53E-11	-1.397630528	0.059	0.106	3.74E-07	RIR	Pde1a
Rap1b	1.70E-11	0.518453398	0.119	0.061	4.14E-07	RIR	Rap1b
Trpm1	1.79E-11	-0.899366113	0.219	0.29	4.35E-07	RIR	Trpm1
Gnb1l	1.80E-11	0.524796168	0.34	0.253	4.40E-07	RIR	Gnb1l
Rpl19	1.81E-11	0.310817809	0.321	0.229	4.41E-07	RIR	Rpl19
Krt18	1.93E-11	-1.207468872	0.067	0.117	4.71E-07	RIR	Krt18
