	ID	Description	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	geneRatio	Regions
GO:0050890	GO:0050890	cognition	401/28928	0.012468828	12.88208051	7.457931982	3.77E-05	0.00288066	0.001328273	Adgrb3/Gabrb3/Nrxn3/Slc6a1/Syt11	5	0.178571429	INL
GO:0035176	GO:0035176	social behavior	71/28928	0.042253521	43.65392354	11.20067931	4.44E-05	0.00288066	0.001328273	Gabrb3/Gad1/Nrxn3	3	0.107142857	INL
GO:0051932	GO:0051932	synaptic transmission, GABAergic	73/28928	0.04109589	42.45792564	11.03926734	4.83E-05	0.00288066	0.001328273	Gabrb3/Grik1/Slc6a1	3	0.107142857	INL
GO:0099084	GO:0099084	postsynaptic specialization organization	73/28928	0.04109589	42.45792564	11.03926734	4.83E-05	0.00288066	0.001328273	Dlg2/Nrxn3/Ptprd	3	0.107142857	INL
GO:0051703	GO:0051703	biological process involved in intraspecies interaction between organisms	74/28928	0.040540541	41.88416988	10.96099103	5.03E-05	0.00288066	0.001328273	Gabrb3/Gad1/Nrxn3	3	0.107142857	INL
GO:0015800	GO:0015800	acidic amino acid transport	86/28928	0.034883721	36.03986711	10.12933144	7.88E-05	0.003565516	0.001644061	Grik1/Slc1a3/Slc6a1	3	0.107142857	INL
GO:0006836	GO:0006836	neurotransmitter transport	240/28928	0.016666667	17.21904762	7.853488746	8.09E-05	0.003565516	0.001644061	Cadps/Nrxn3/Slc6a1/Syt11	4	0.142857143	INL
GO:0007601	GO:0007601	visual perception	162/28928	0.080246914	116.0691358	38.63085259	2.44E-25	3.26E-23	1.43E-23	Gnat1/Guca1b/Pdc/Pde6a/Pde6b/Pde6g/Pde6h/Prph2/Rcvrn/Rho/Rom1/Rs1/Slc24a1	13	0.65	ONL
GO:0050953	GO:0050953	sensory perception of light stimulus	166/28928	0.078313253	113.2722892	38.15704668	3.39E-25	3.26E-23	1.43E-23	Gnat1/Guca1b/Pdc/Pde6a/Pde6b/Pde6g/Pde6h/Prph2/Rcvrn/Rho/Rom1/Rs1/Slc24a1	13	0.65	ONL
GO:0009583	GO:0009583	detection of light stimulus	52/28928	0.192307692	278.1538462	52.61526204	2.55E-23	1.63E-21	7.17E-22	Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1	10	0.5	ONL
GO:0009582	GO:0009582	detection of abiotic stimulus	142/28928	0.070422535	101.8591549	31.69031158	1.04E-18	4.30E-17	1.89E-17	Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1	10	0.5	ONL
GO:0009581	GO:0009581	detection of external stimulus	143/28928	0.06993007	101.1468531	31.57765545	1.12E-18	4.30E-17	1.89E-17	Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1	10	0.5	ONL
GO:0007602	GO:0007602	phototransduction	28/28928	0.25	361.6	50.21269014	2.71E-17	8.67E-16	3.80E-16	Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Rcvrn/Rho	7	0.35	ONL
GO:0009416	GO:0009416	response to light stimulus	346/28928	0.028901734	41.80346821	20.083828	8.74E-15	2.40E-13	1.05E-13	Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1	10	0.5	ONL
GO:0009314	GO:0009314	response to radiation	474/28928	0.021097046	30.51476793	17.04176423	2.03E-13	4.86E-12	2.13E-12	Aipl1/Gnat1/Gnb1/Gngt1/Guca1b/Pde6b/Prph2/Rcvrn/Rho/Rom1	10	0.5	ONL
GO:0060041	GO:0060041	retina development in camera-type eye	217/28928	0.036866359	53.3235023	20.34980191	1.03E-12	2.19E-11	9.61E-12	Gnat1/Gnb1/Pde6a/Pde6b/Prph2/Rho/Rom1/Rs1	8	0.4	ONL
GO:0001654	GO:0001654	eye development	473/28928	0.019027484	27.52135307	15.29694218	1.11E-11	2.05E-10	8.98E-11	Gnat1/Gnb1/Gngt1/Pde6a/Pde6b/Prph2/Rho/Rom1/Rs1	9	0.45	ONL
GO:0150063	GO:0150063	visual system development	476/28928	0.018907563	27.34789916	15.24581837	1.17E-11	2.05E-10	8.98E-11	Gnat1/Gnb1/Gngt1/Pde6a/Pde6b/Prph2/Rho/Rom1/Rs1	9	0.45	ONL
GO:0002088	GO:0002088	lens development in camera-type eye	97/28928	0.134020619	215.3860252	52.7735599	2.48E-29	8.96E-27	5.24E-27	Bfsp2/Cryaa/Cryab/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja8/Lim2/Mip	13	0.722222222	Len
GO:0043010	GO:0043010	camera-type eye development	423/28928	0.033096927	53.19043867	26.981402	4.78E-23	8.66E-21	5.06E-21	Bfsp2/Col4a1/Cryaa/Cryab/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja8/Lim2/Mip	14	0.777777778	Len
GO:00016541	GO:0001654	eye development	473/28928	0.029598309	47.56777073	25.48007066	2.32E-22	2.26E-20	1.32E-20	Bfsp2/Col4a1/Cryaa/Cryab/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja8/Lim2/Mip	14	0.777777778	Len
GO:01500631	GO:0150063	visual system development	476/28928	0.029411765	47.26797386	25.39752885	2.54E-22	2.26E-20	1.32E-20	Bfsp2/Col4a1/Cryaa/Cryab/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja8/Lim2/Mip	14	0.777777778	Len
GO:0048880	GO:0048880	sensory system development	483/28928	0.028985507	46.58293076	25.20790454	3.12E-22	2.26E-20	1.32E-20	Bfsp2/Col4a1/Cryaa/Cryab/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja8/Lim2/Mip	14	0.777777778	Len
GO:00076011	GO:0007601	visual perception	162/28928	0.067901235	109.1248285	34.43555647	3.70E-21	2.23E-19	1.31E-19	Bfsp2/Cryaa/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja3/Mip	11	0.611111111	Len
GO:00509531	GO:0050953	sensory perception of light stimulus	166/28928	0.06626506	106.4953146	34.01273686	4.88E-21	2.52E-19	1.47E-19	Bfsp2/Cryaa/Cryba1/Cryba2/Cryba4/Crybb1/Crybb2/Crybb3/Crygs/Gja3/Mip	11	0.611111111	Len
GO:0010496	GO:0010496	intercellular transport	10/28928	0.3	482.1333333	37.97040453	2.42E-08	1.10E-06	6.40E-07	Gja3/Gja8/Mip	3	0.166666667	Len
